node,type
A1BG,gene
A1CF,gene
A2M,gene
A2ML1,gene
A4GALT,gene
A4GNT,gene
AAAS,gene
AACS,gene
AADAC,gene
AADACL2,gene
AADACL3,gene
AADACL4,gene
AADAT,gene
AAGAB,gene
AAK1,gene
AAMDC,gene
AAMP,gene
AANAT,gene
AAR2,gene
AARD,gene
AARS1,gene
AARS2,gene
AARSD1,gene
AASDH,gene
AASDHPPT,gene
AASS,gene
AATF,gene
AATK,gene
ABAT,gene
ABCA1,gene
ABCA10,gene
ABCA12,gene
ABCA13,gene
ABCA2,gene
ABCA3,gene
ABCA4,gene
ABCA5,gene
ABCA6,gene
ABCA7,gene
ABCA8,gene
ABCA9,gene
ABCB1,gene
ABCB10,gene
ABCB11,gene
ABCB4,gene
ABCB5,gene
ABCB6,gene
ABCB7,gene
ABCB8,gene
ABCB9,gene
ABCC1,gene
ABCC10,gene
ABCC11,gene
ABCC12,gene
ABCC2,gene
ABCC3,gene
ABCC4,gene
ABCC5,gene
ABCC6,gene
ABCC8,gene
ABCC9,gene
ABCD1,gene
ABCD2,gene
ABCD3,gene
ABCD4,gene
ABCE1,gene
ABCF1,gene
ABCF2,gene
ABCF3,gene
ABCG1,gene
ABCG2,gene
ABCG4,gene
ABCG5,gene
ABCG8,gene
ABHD1,gene
ABHD10,gene
ABHD11,gene
ABHD12,gene
ABHD12B,gene
ABHD13,gene
ABHD14A,gene
ABHD14B,gene
ABHD15,gene
ABHD16A,gene
ABHD16B,gene
ABHD17A,gene
ABHD17B,gene
ABHD17C,gene
ABHD18,gene
ABHD2,gene
ABHD3,gene
ABHD4,gene
ABHD5,gene
ABHD6,gene
ABHD8,gene
ABI1,gene
ABI2,gene
ABI3,gene
ABI3BP,gene
ABITRAM,gene
ABL1,gene
ABL2,gene
ABLIM1,gene
ABLIM2,gene
ABLIM3,gene
ABO,gene
ABR,gene
ABRA,gene
ABRACL,gene
ABRAXAS1,gene
ABRAXAS2,gene
ABT1,gene
ABTB1,gene
ABTB2,gene
ACAA1,gene
ACAA2,gene
ACACA,gene
ACACB,gene
ACAD10,gene
ACAD11,gene
ACAD8,gene
ACAD9,gene
ACADL,gene
ACADM,gene
ACADS,gene
ACADSB,gene
ACADVL,gene
ACAN,gene
ACAP1,gene
ACAP2,gene
ACAP3,gene
ACAT1,gene
ACAT2,gene
ACBD3,gene
ACBD4,gene
ACBD5,gene
ACBD6,gene
