ChemicalName,ChemicalID,CasRN,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions,PubMedIDs
10-deacetylpaclitaxel,C095360,,ABCB1,5243,protein,Homo sapiens,9606,10-deacetylpaclitaxel binds to ABCB1 protein,affects^binding,29625142
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,AZGP1,563,protein,Homo sapiens,9606,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to AZGP1 protein,affects^binding,19539807
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,KIF3C,3797,protein,Homo sapiens,9606,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to KIF3C protein,affects^binding,19539807
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,KRT1,3848,protein,Homo sapiens,9606,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to KRT1 protein,affects^binding,19539807
10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide,C403065,,TF,7018,protein,Homo sapiens,9606,10-(fluoroethoxyphosphinyl)-N-(biotinamidopentyl)decanamide binds to TF protein,affects^binding,18930948
10-hydroxywarfarin,C065719,83219-99-2,CYP2C9,1559,protein,Homo sapiens,9606,10-hydroxywarfarin binds to and results in decreased activity of CYP2C9 protein,affects^binding|decreases^activity,20429590
10-hydroxywarfarin,C065719,83219-99-2,NR1I2,8856,protein,Homo sapiens,9606,10-hydroxywarfarin binds to and results in increased activity of NR1I2 protein,affects^binding|increases^activity,20735727
10-hydroxywarfarin,C065719,83219-99-2,UGT2B7,7364,protein,Homo sapiens,9606,10-hydroxywarfarin binds to and results in decreased activity of UGT2B7 protein,affects^binding|decreases^activity,25393417
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP3,836,protein,Homo sapiens,9606,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one inhibits the reaction [XIAP protein binds to CASP3 protein]",affects^binding|decreases^reaction,20833157
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,CASP8,841,protein,Homo sapiens,9606,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one inhibits the reaction [FADD protein binds to CASP8 protein]",affects^binding|decreases^reaction,20833157
