Symptom,EntrezID,Symbol
C0022541,6392,SDHD
C0022541,56997,COQ8A
C0022541,55605,KIF21A
C0022541,644096,SDHAF1
C0022541,10381,TUBB3
C0022541,291,SLC25A4
C0022541,401,PHOX2A
C0022541,4509,ATP8
C0022541,10939,AFG3L2
C0022541,5428,POLG
C0022541,6389,SDHA
C0022541,4099,MAG
C0022541,1890,TYMP
C0022541,3552,IL1A
C0022541,4885,NPTX2
C0022541,50484,RRM2B
C0022541,3553,IL1B
C0022541,6314,ATXN7
C0022541,56652,TWNK
C0022541,26278,SACS
C0022541,9377,COX5A
C0023530,7454,WAS
C0023530,1806,DPYD
C0023530,1440,CSF3
C0023530,79650,USB1
C0023530,2214,FCGR3A
C0023530,6901,TAZ
C0023530,7066,THPO
C0023530,1441,CSF3R
C0023530,1437,CSF2
C0023530,84522,JAGN1
C0023530,11311,VPS45
C0023530,92579,G6PC3
C0023530,2215,FCGR3B
C0023530,2056,EPO
C0023530,7852,CXCR4
C0023530,10456,HAX1
C0023530,4254,KITLG
C0023530,7150,TOP1
C0023530,81570,CLPB
C0023530,54658,UGT1A1
C0023530,356,FASLG
C0023530,2542,SLC37A4
C0023530,1991,ELANE
C0023530,57126,CD177
C0023530,157680,VPS13B
C0023530,2672,GFI1
C0023530,3562,IL3
C0002103,3269,HRH1
C0002103,3567,IL5
C0002103,3497,IGHE
C0002103,240,ALOX5
C0002103,3596,IL13
C0002103,6037,RNASE3
C0002103,55153,SDAD1
C0002103,26762,HAVCR1
C0002103,3565,IL4
C0002103,7432,VIP
C0002103,8288,EPX
C0002103,3383,ICAM1
C0002103,3458,IFNG
C0002103,2206,MS4A2
C0002103,7412,VCAM1
C0002103,4803,NGF
C0002103,3827,KNG1
C0002103,3606,IL18
C0002103,6356,CCL11
C0002103,3566,IL4R
C0002103,2302,FOXJ1
C0002103,3576,CXCL8
C0002103,3586,IL10
C0002103,4353,MPO
C0035455,3269,HRH1
C0035455,4852,NPY
C0035455,3567,IL5
C0035455,3497,IGHE
C0035455,2908,NR3C1
C0035455,7356,SCGB1A1
C0035455,3596,IL13
C0035455,6037,RNASE3
C0035455,54106,TLR9
C0035455,5443,POMC
C0035455,55153,SDAD1
C0035455,3565,IL4
C0035455,7432,VIP
C0035455,6352,CCL5
C0035455,8288,EPX
C0035455,3383,ICAM1
C0035455,7442,TRPV1
C0035455,7412,VCAM1
C0035455,4803,NGF
C0035455,3827,KNG1
C0035455,10800,CYSLTR1
C0035455,6356,CCL11
C0035455,3566,IL4R
C0035455,2302,FOXJ1
C0035455,3576,CXCL8
C0009806,1650,DDOST
C0009806,5290,PIK3CA
C0009806,2314,FLII
C0009806,2313,FLI1
C0009806,259232,NALCN
C0009806,779,CACNA1S
C0009806,360,AQP3
C0009806,5443,POMC
C0009806,5621,PRNP
C0009806,6391,SDHC
C0009806,10892,MALT1
C0009806,4292,MLH1
C0009806,27086,FOXP1
C0009806,1482,NKX2-5
C0009806,3190,HNRNPK
C0009806,7432,VIP
C0009806,6531,SLC6A3
C0009806,6663,SOX10
C0009806,4210,MEFV
C0009806,6340,SCNN1G
C0009806,6792,CDKL5
C0009806,6389,SDHA
C0009806,2956,MSH6
C0009806,9968,MED12
C0009806,330,BIRC3
C0009806,9632,SEC24C
C0009806,3492,IGH
C0009806,51085,MLXIPL
C0009806,54551,MAGEL2
C0009806,5378,PMS1
C0009806,627,BDNF
C0009806,50506,DUOX2
C0009806,6557,SLC12A1
C0009806,6863,TAC1
C0009806,846,CASR
C0009806,5449,POU1F1
C0009806,8022,LHX3
C0009806,7337,UBE3A
C0009806,885,CCK
C0009806,6899,TBX1
C0009806,1294,COL7A1
C0009806,4988,OPRM1
C0009806,10743,RAI1
C0009806,796,CALCA
C0009806,3815,KIT
C0009806,8514,KCNAB2
C0009806,6925,TCF4
C0009806,6336,SCN10A
C0009806,2556,GABRA3
C0009806,6299,SALL1
C0009806,3845,KRAS
C0009806,26608,TBL2
C0009806,3508,IGHMBP2
C0009806,6390,SDHB
C0009806,6750,SST
C0009806,1131,CHRM3
C0009806,5697,PYY
C0009806,5498,PPOX
C0009806,5395,PMS2
C0009806,8929,PHOX2B
C0009806,7068,THRB
C0009806,6609,SMPD1
C0009806,546,ATRX
C0009806,6869,TACR1
C0009806,3359,HTR3A
C0009806,6335,SCN9A
C0009806,7201,TRHR
C0009806,554,AVPR2
C0009806,429,ASCL1
C0009806,3758,KCNJ1
C0009806,6496,SIX3
C0009806,4001,LMNB1
C0009806,2969,GTF2I
C0009806,2290,FOXG1
C0009806,4902,NRTN
C0009806,6239,RREB1
C0009806,2862,MLNR
C0009806,2641,GCG
C0009806,10847,SRCAP
C0009806,22909,FAN1
C0009806,4922,NTS
C0009806,210,ALAD
C0009806,4295,MLN
C0009806,7048,TGFBR2
C0009806,359,AQP2
C0009806,2006,ELN
C0009806,7148,TNXB
C0009806,2520,GAST
C0009806,5626,PROP1
C0009806,6338,SCNN1B
C0009806,4436,MSH2
C0009806,5428,POLG
C0009806,9569,GTF2IRD1
C0009806,4312,MMP1
C0009806,4072,EPCAM
C0009806,1717,DHCR7
C0009806,1890,TYMP
C0009806,6535,SLC6A8
C0009806,4929,NR4A2
C0009806,1644,DDC
C0009806,9965,FGF19
C0009806,5444,PON1
C0009806,27030,MLH3
C0009806,7038,TG
C0009806,3145,HMBS
C0009806,1910,EDNRB
C0009806,7276,TTR
C0009806,7252,TSHB
C0009806,4204,MECP2
C0009806,10512,SEMA3C
C0009806,2033,EP300
C0009806,9860,LRIG2
C0009806,5156,PDGFRA
C0009806,4952,OCRL
C0009806,8915,BCL10
C0009806,672,BRCA1
C0009806,421,ARVCF
C0009806,7200,TRH
C0009806,7849,PAX8
C0009806,3360,HTR4
C0009806,5095,PCCA
C0009806,9378,NRXN1
C0009806,4852,NPY
C0009806,7067,THRA
C0009806,7290,HIRA
C0009806,5096,PCCB
C0009806,9031,BAZ1B
C0009806,2812,GP1BB
C0009806,5982,RFC2
C0009806,1889,ECE1
C0009806,1674,DES
C0009806,5979,RET
C0009806,2132,EXT2
C0009806,3984,LIMK1
C0009806,673,BRAF
C0009806,2316,FLNA
C0009806,11280,SCN11A
C0009806,1312,COMT
C0009806,473,RERE
C0009806,1497,CTNS
C0009806,6497,SKI
C0009806,6528,SLC5A5
C0009806,8820,HESX1
C0009806,2563,GABRD
C0009806,1103,CHAT
C0009806,1387,CREBBP
C0009806,1908,EDN3
C0009806,6532,SLC6A4
C0009806,7461,CLIP2
C0009806,9627,SNCAIP
C0009806,249,ALPL
C0009806,7253,TSHR
C0009806,1181,CLCN2
C0009806,7132,TNFRSF1A
C0009806,1371,CPOX
C0009806,2668,GDNF
C0011991,641,BLM
C0011991,3543,IGLL1
C0011991,26873,OPLAH
C0011991,1030,CDKN2B
C0011991,1811,SLC26A3
C0011991,1174,AP1S1
C0011991,6948,TCN2
C0011991,4683,NBN
C0011991,50943,FOXP3
C0011991,1593,CYP27A1
C0011991,929,CD14
C0011991,2717,GLA
C0011991,4210,MEFV
C0011991,100,ADA
C0011991,6340,SCNN1G
C0011991,3552,IL1A
