node_1,node_2_name
DB06803,STAT3
DB02709,APP
DB01094,MTTP
DB08985,ADRB1
DB01295,ADRB1
clorprenaline,ADRB1
DB00127,ADRB1
DB00866,ADRB1
DB08807,ADRB1
DB08808,ADRB1
carazolol,ADRB1
DB09229,CACNA1C
DB13500,CACNA1C
DB09230,CACNA1C
DB09235,CACNA1C
DB04866,COL1A1
DB02709,ESR1
DB01431,ESR1
estropipate,ESR1
neridronic-acid,FDPS
minodronic-acid,FDPS
DB01034,FASN
DB00339,FASN
fludrocortisone-acetate,NR3C1
megestrol-acetate,NR3C1
dexamethasone-sodium-phosphate,NR3C1
methylprednisolone-aceponate,NR3C1
cortisone,NR3C1
prednisolone-acetate,NR3C1
fluocinolone-acetonide,NR3C1
DB00873,NR3C1
hydrocortisone-butyrate,NR3C1
DB00764,NR3C1
prednisolone-sodium-phosphate,NR3C1
hydrocortisone-phosphate,NR3C1
clobetasone-butyrate,NR3C1
DB11824,MAP4K2
DB01352,GRIK2
hyaluronic-acid,C1QBP
thiram,JAK2
DB01411,NFKB1
tepoxalin,ALOX5
DB02709,ALOX5
DB08955,ALOX5
silibinin,ALOX5
DB02709,SNCA
DB02709,AKT1
arsenic-trioxide,AKT1
DB09221,FLT1
butorphanol-(+)-tartrate,OPRD1
DB09289,OPRD1
DB04519,PPARA
DB02709,PPARA
DB08983,PPARA
DB09006,PPARA
arsenic-trioxide,MAPK1
zotarolimus,FKBP1A
DB01349,AGTR2
gentamycin,LRP2
L-Arginine,ASS1
DB00125,ASS1
DB00155,ASS1
L-Citrulline,ASS1
fludarabine-phosphate,POLA1
spiperone,HTR2C
DB09000,HTR2C
DB08839,HTR2C
DB12163,HTR2C
DB09304,HTR2C
DB09014,HTR2C
fludrocortisone-acetate,AR
testosterone-enanthate,AR
DB13169,AR
testosterone-undecanoate,AR
DB02901,AR
DB00858,AR
DB05266,PDE4D
DB09283,PDE4D
DB09273,PDE4D
estropipate,ESR2
DB09198,PPARG
DB02709,PPARG
DB01252,PPARG
DB09006,PPARG
gentamycin,HSPA8
megestrol-acetate,PGR
DB01431,PGR
DB00764,PGR
chlormadinone-acetate,PGR
DB11324,TRPV1
DB09288,TRPV1
sodium-salicylate,ASIC3
DB01356,GSK3B
DB04942,RARA
DB09289,GRIA1
fludarabine-phosphate,POLE
DB00133,CBS
DB09283,PDE9A
DB00463,GABRD
DB00546,GABRD
DB11582,GABRD
DB00155,DDAH2
L-Citrulline,DDAH2
DB00607,SLC22A6
DB01140,SLC22A6
DB01060,SLC22A6
cyclosporin-a,PPP3CA
DB09221,PDGFRB
DB02709,NQO2
DB00133,AGXT
DB01356,IMPA1
bucladesine,PRKACA
arsenic-trioxide,JUN
DB09221,HSP90AB1
DB09229,CACNA1F
DB13165,ROCK2
epalrestat,AKR1B1
sodium-monofluorophosphate,PYGM
DB00352,IMPDH2
ethanolamine-oleate,FABP4
DB02709,KHSRP
DB00133,SPTLC1
DB08873,CTSA
DB08807,HTR1B
DB08839,HTR1B
DB09286,HTR1B
DB09304,HTR1B
fluphenazine-decanoate,HTR1B
fludarabine-phosphate,POLD1
DB08839,HTR1E
DB09304,HTR1E
DB01397,PTGS2
DB09217,PTGS2
DB00154,PTGS2
DB13217,PTGS2
DB12233,PTGS2
DB09288,PTGS2
flurbiprofen-(S)-(+),PTGS2
DB02709,PTGS2
deracoxib,PTGS2
bendazac,PTGS2
ufenamate,PTGS2
DB08984,PTGS2
DB01404,PTGS2
amtolmetin-guacil,PTGS2
sodium-salicylate,PTGS2
DB04552,PTGS2
ibuprofen-lysine,PTGS2
DB12545,PTGS2
DB01411,RNASE3
hydrocortisone-phosphate,ANXA1
DB02709,CBR1
DB01411,TNF
DB09221,TNF
DB04552,KCNQ1
DB01429,CALM1
DB04216,HCK
DB01015,GSTP1
DB09221,HSP90AA1
arsenic-trioxide,CCND1
arsenic-trioxide,MAPK3
DB09283,PDGFRA
DB04216,PIK3CG
