drug,drug_name,disease,disease_name,indication
DB00001,Lepirudin,C0040038,Thromboembolism,1
DB00001,Lepirudin,C0002965,"Angina, Unstable",1
DB00001,Lepirudin,C0040053,thrombosis,1
DB00002,Cetuximab,C0007102,Malignant Tumor Of Colon,1
DB00002,Cetuximab,C1168401,head and neck squamous cell carcinoma (HNSCC),1
DB00004,Denileukin diftitox,C0079773,cutaneous T-cell lymphoma (CTCL),1
DB00005,Etanercept,C0003873,rheumatoid arthritis,1
DB00005,Etanercept,C3495559,Juvenile Arthritis,1
DB00005,Etanercept,C0003872,psoriatic arthritis,1
DB00005,Etanercept,C0038013,ankylosing spondylitis,1
DB00007,leuprolide,C0034013,precocious puberty,1
DB00007,leuprolide,C0014175,endometriosis,1
DB00007,leuprolide,C0376358,Malignant Neoplasm Of Prostate,1
DB00007,leuprolide,C0042133,Uterine Fibroids,1
DB00007,leuprolide,C0021359,infertility,1
DB00007,leuprolide,C0021361,Female Infertility,1
DB00007,leuprolide,C1458155,Mammary Neoplasms,1
DB00007,leuprolide,C0014170,Endometrial Neoplasms,1
DB00007,leuprolide,C0023267,Fibroid Tumor,1
DB00007,leuprolide,C0919267,Ovarian Neoplasm,1
DB00007,leuprolide,C2937421,Prostatic Hyperplasia,1
DB00007,leuprolide,C0033578,Prostatic Neoplasms,1
DB00008,Peginterferon alfa-2a,C0524910,"Hepatitis C, Chronic",1
DB00008,Peginterferon alfa-2a,C0524909,"Hepatitis B, Chronic",1
DB00008,Peginterferon alfa-2a,C0276535,Aids With Kaposi'S Sarcoma,1
DB00008,Peginterferon alfa-2a,C0023443,hairy cell leukemia,1
DB00008,Peginterferon alfa-2a,C0025202,melanoma,1
DB00008,Peginterferon alfa-2a,C0006118,Brain Neoplasms,1
DB00008,Peginterferon alfa-2a,C2239176,hepatocellular carcinoma (HCC),1
DB00008,Peginterferon alfa-2a,C0007134,renal cell carcinoma (RCC),1
DB00008,Peginterferon alfa-2a,C0009404,Colorectal Neoplasms,1
DB00008,Peginterferon alfa-2a,C0018916,Hemangioma,1
DB00008,Peginterferon alfa-2a,C1540912,hypereosinophilic syndrome (HES),1
DB00008,Peginterferon alfa-2a,C0024437,macular degeneration,1
DB00008,Peginterferon alfa-2a,C0026764,multiple myeloma,1
DB00008,Peginterferon alfa-2a,C0026948,Mycosis Fungoides,1
DB00008,Peginterferon alfa-2a,C0036220,Kaposi sarcoma,1
DB00008,Peginterferon alfa-2a,C0036920,Sezary Syndrome,1
DB00008,Peginterferon alfa-2a,C0037286,Skin Neoplasms,1
DB00008,Peginterferon alfa-2a,C0037299,skin ulcer,1
DB00008,Peginterferon alfa-2a,C0040028,"Thrombocythemia, Essential",1
DB00009,Alteplase,C0948008,Ischemic Stroke,1
DB00009,Alteplase,C0034065,pulmonary embolism (PE),1
DB00009,Alteplase,C0027051,Myocardial Infarction,1
DB00009,Alteplase,C0040053,thrombosis,1
DB00010,Sermorelin,C0013338,Pituitary Dwarfism,1
DB00010,Sermorelin,C0343755,Hiv Wasting Syndrome,1
DB00010,Sermorelin,C0021359,infertility,1
DB00013,Urokinase,C0034065,pulmonary embolism (PE),1
DB00013,Urokinase,C0010072,Coronary Thrombosis,1
