# ChemicalName,chemicalID,CasRN,DiseaseName,diseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore,OmimIDs,PubMedIDs
06-Paris-LA-66 protocol,C046983,,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,,,,4519131
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,Epilepsy,MESH:D004827,therapeutic,,,,17516704
10-hydroxycamptothecin,C028098,67656-30-8,Huntington Disease,MESH:D006816,therapeutic,,,,21909362
10-hydroxycamptothecin,C028098,67656-30-8,Liver Neoplasms,MESH:D008113,therapeutic,,,,16603448
"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",C554291,,Leukemia,MESH:D007938,therapeutic,,,,20833157
10-nitro-oleic acid,C521487,,Triple Negative Breast Neoplasms,MESH:D064726,therapeutic,,,,29158255
10-propargyl-10-deazaaminopterin,C418863,,"Lymphoma, Non-Hodgkin",MESH:D008228,therapeutic,,,,16467107
10-propargyl-10-deazaaminopterin,C418863,,"Lymphoma, T-Cell",MESH:D016399,therapeutic,,,,21301589
"1,10-diaminodecane",C065351,,Seizures,MESH:D012640,therapeutic,,,,9641557
"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",C532626,,Cocaine-Related Disorders,MESH:D019970,therapeutic,,,,19996296
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,,Lymphoma,MESH:D008223,therapeutic,,,,21604762
"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",C561234,,Primary Myelofibrosis,MESH:D055728,therapeutic,,,,21604762
"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",C085415,34023-62-6,Hyperkinesis,MESH:D006948,therapeutic,,,,9286612
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Movement Disorders,MESH:D009069,therapeutic,,,,30472438
1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,C557705,,Poisoning,MESH:D011041,therapeutic,,,,30472438
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Acute Lung Injury,MESH:D055371,therapeutic,,,,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Cardiomyopathies,MESH:D009202,therapeutic,,,,31220554
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Colitis,MESH:D003092,therapeutic,,,,22119709
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Extravasation of Diagnostic and Therapeutic Materials,MESH:D005119,therapeutic,,,,22442067
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Fibrosis,MESH:D005355,therapeutic,,,,31220554
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hyperalgesia,MESH:D006930,therapeutic,,,,29143802
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Hyperglycemia,MESH:D006943,therapeutic,,,,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Insulin Resistance,MESH:D007333,therapeutic,,,,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Pulmonary Edema,MESH:D011654,therapeutic,,,,24963491
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Weight Gain,MESH:D015430,therapeutic,,,,32949586
"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",C432747,,Weight Loss,MESH:D015431,therapeutic,,,,22119709
11-keto-boswellic acid,C447943,,"Carcinoma, Ehrlich Tumor",MESH:D002286,therapeutic,,,,21056033
11-keto-boswellic acid,C447943,,Myocardial Reperfusion Injury,MESH:D015428,therapeutic,,,,23771412
11-keto-boswellic acid,C447943,,Sarcoma 180,MESH:D012510,therapeutic,,,,21056033
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Cardiomegaly,MESH:D006332,therapeutic,,,,21383588
1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,C561619,,Seizures,MESH:D012640,therapeutic,,,,25448683
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,,Amnesia,MESH:D000647,therapeutic,,,,17276409
"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",C519817,,Hyperalgesia,MESH:D006930,therapeutic,,,,17276409
1-(1-naphthyl)piperazine,C048241,57536-86-4,Feeding and Eating Disorders,MESH:D001068,therapeutic,,,,8223940
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Arthritis, Experimental",MESH:D001169,therapeutic,,,,18508045
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,"Encephalomyelitis, Autoimmune, Experimental",MESH:D004681,therapeutic,,,,19878665
1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,C534222,,Hyperalgesia,MESH:D006930,therapeutic,,,,18938155
1-(2-(2-thienyl)-2-adamantyl) morpholine,C508955,,Seizures,MESH:D012640,therapeutic,,,,16167315
"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",C501656,,Hyperkinesis,MESH:D006948,therapeutic,,,,19347958
