DB Object Symbol,GO ID,DB Object Type
PIGBOS1,GO:1900101,protein
NBDY,GO:0000956,protein
NBDY,GO:0010607,protein
SPAAR,GO:0071230,protein
SPAAR,GO:1904262,protein
SMIM45,GO:0042551,protein
RBM47,GO:0000381,protein
RBM47,GO:0016554,protein
RBM47,GO:0060340,protein
RBM47,GO:0070935,protein
TMEM129,GO:0000209,protein
TMEM129,GO:0006511,protein
TMEM129,GO:0030970,protein
TMEM129,GO:0036503,protein
E2F8,GO:0000122,protein
E2F8,GO:0002040,protein
E2F8,GO:0045944,protein
UBA6,GO:0006511,protein
UBA6,GO:0016567,protein
SHTN1,GO:2001224,protein
TMEM223,GO:0033617,protein
GXYLT2,GO:0016266,protein
CLRN2,GO:0007605,protein
IRGM,GO:0000045,protein
IRGM,GO:0001934,protein
IRGM,GO:0010508,protein
IRGM,GO:0010800,protein
IRGM,GO:0031648,protein
IRGM,GO:0032480,protein
IRGM,GO:0033138,protein
IRGM,GO:0042742,protein
IRGM,GO:0043124,protein
IRGM,GO:0043254,protein
IRGM,GO:0045087,protein
IRGM,GO:0050687,protein
IRGM,GO:0050728,protein
IRGM,GO:0050821,protein
IRGM,GO:0050829,protein
IRGM,GO:0060335,protein
IRGM,GO:0061635,protein
IRGM,GO:0061739,protein
IRGM,GO:0061762,protein
IRGM,GO:0065003,protein
IRGM,GO:0070431,protein
IRGM,GO:0071211,protein
IRGM,GO:0071222,protein
IRGM,GO:0071902,protein
IRGM,GO:0098586,protein
IRGM,GO:0160049,protein
IRGM,GO:1900226,protein
IRGM,GO:1901098,protein
IRGM,GO:1901526,protein
IRGM,GO:1904417,protein
IRGM,GO:1905673,protein
FAM170A,GO:0006366,protein
FAM170A,GO:0045893,protein
ANO9,GO:1902476,protein
ODAM,GO:0001934,protein
ODAM,GO:0006954,protein
ODAM,GO:0010628,protein
ODAM,GO:0032956,protein
ODAM,GO:0043547,protein
ILVBL,GO:0001561,protein
NDUFAF8,GO:0032981,protein
IGSF23,GO:0030316,protein
PLEKHG3,GO:0030334,protein
PLEKHG3,GO:2000114,protein
ELOVL7,GO:0019367,protein
ELOVL7,GO:0034626,protein
ELOVL7,GO:0042761,protein
SH3PXD2B,GO:0001501,protein
SH3PXD2B,GO:0001654,protein
SH3PXD2B,GO:0006801,protein
SH3PXD2B,GO:0007507,protein
SH3PXD2B,GO:0022617,protein
SH3PXD2B,GO:0060348,protein
SH3PXD2B,GO:0072657,protein
CIBAR1,GO:0007007,protein
CIBAR1,GO:0035108,protein
CIBAR1,GO:0060271,protein
CIBAR1,GO:0061024,protein
CIBAR1,GO:0097749,protein
ZBTB7C,GO:0008285,protein
MACROD2,GO:0006974,protein
MACROD2,GO:0042278,protein
MACROD2,GO:0051725,protein
MACROD2,GO:0140291,protein
CCDC78,GO:0003009,protein
CCDC78,GO:0098535,protein
NBAS,GO:0000956,protein
NBAS,GO:0006890,protein
NBAS,GO:2000623,protein
CCDC66,GO:0001578,protein
CCDC66,GO:0060271,protein
CCDC66,GO:1903564,protein
TYW5,GO:0031591,protein
TMEM131L,GO:0033088,protein
TMEM131L,GO:0090090,protein
SMIM30,GO:0060339,protein
CRPPA,GO:0035269,protein
GSAP,GO:0030162,protein
GSAP,GO:1902004,protein
WDR91,GO:0006511,protein
WDR91,GO:0042176,protein
WDR91,GO:0045022,protein
PRSS37,GO:0070613,protein
PRSS37,GO:2000344,protein
MBLAC1,GO:0008334,protein
MBLAC1,GO:0031124,protein
MBLAC1,GO:1900087,protein
EME2,GO:0006302,protein
EME2,GO:0031297,protein
ODAD3,GO:0007368,protein
ODAD3,GO:0036158,protein
ODAD3,GO:0003341,protein
CFAP69,GO:0007288,protein
CFAP69,GO:0030317,protein
PSMB11,GO:0006508,protein
PEDS1,GO:0008611,protein
HTR3E,GO:0007210,protein
HTR3E,GO:0098662,protein
CNOT1,GO:0000122,protein
CNOT1,GO:0010606,protein
CNOT1,GO:0017148,protein
CNOT1,GO:0033147,protein
CNOT1,GO:0035195,protein
CNOT1,GO:0048387,protein
CNOT1,GO:0060213,protein
CNOT1,GO:0061014,protein
CNOT1,GO:1900153,protein
CNOT1,GO:2000036,protein
CARNS1,GO:0035499,protein
NKX2-6,GO:0035050,protein
NKX2-6,GO:0045944,protein
FAM83G,GO:0030509,protein
PALM3,GO:0001960,protein
PALM3,GO:0008063,protein
PALM3,GO:0032496,protein
PGP,GO:0006114,protein
PGP,GO:0006650,protein
PGP,GO:0045721,protein
RIMOC1,GO:0000423,protein
TMEM8B,GO:0007160,protein
TRABD2B,GO:0006508,protein
TRABD2B,GO:0030178,protein
TRABD2B,GO:0031334,protein
TRABD2B,GO:1904808,protein
TCAF2,GO:0010360,protein
TCAF2,GO:0030335,protein
TCAF2,GO:0090314,protein
MFSD2B,GO:0006869,protein
SDHAF1,GO:0034553,protein
TLCD2,GO:0007009,protein
TLCD2,GO:0055091,protein
TLCD2,GO:0071709,protein
TLCD2,GO:0097035,protein
SMCHD1,GO:0009048,protein
SMCHD1,GO:0043584,protein
SMCHD1,GO:0045739,protein
SMCHD1,GO:2000042,protein
SMCHD1,GO:2001034,protein
CASTOR2,GO:1904262,protein
ARHGAP42,GO:0090630,protein
MYMK,GO:0007520,protein
LILRA5,GO:0032695,protein
LILRA5,GO:0032696,protein
LILRA5,GO:0032731,protein
LILRA5,GO:0032733,protein
LILRA5,GO:0032755,protein
LILRA5,GO:0032760,protein
LILRA5,GO:0043410,protein
LILRA5,GO:0050729,protein
LILRA5,GO:0050867,protein
LILRA5,GO:0051928,protein
LILRA5,GO:0061098,protein
CCDC69,GO:0051255,protein
UNC119B,GO:0042953,protein
UNC119B,GO:0060271,protein
WTIP,GO:0035195,protein
WTIP,GO:0001666,protein
WTIP,GO:0007010,protein
WTIP,GO:0022604,protein
WTIP,GO:0035278,protein
WTIP,GO:0035331,protein
NKX6-3,GO:0000122,protein
NKX6-3,GO:0045944,protein
METTL15,GO:0070475,protein
ACOD1,GO:0002760,protein
ACOD1,GO:0006952,protein
ACOD1,GO:0071222,protein
ACOD1,GO:0072573,protein
LIPT2,GO:0009249,protein
LIPT2,GO:2000376,protein
C2CD4B,GO:0002528,protein
C2CD4B,GO:0002675,protein
C2CD4B,GO:0030155,protein
SIGLEC16,GO:0032755,protein
SIGLEC16,GO:1900426,protein
FIGNL2,GO:0030336,protein
FIGNL2,GO:0051013,protein
IFITM5,GO:0030282,protein
IFITM5,GO:0060349,protein
USP27X,GO:0050821,protein
USP27X,GO:0051607,protein
USP27X,GO:0060340,protein
USP27X,GO:0071108,protein
ZSWIM8,GO:0016567,protein
ZSWIM8,GO:0043161,protein
ZSWIM8,GO:0140958,protein
ZSWIM8,GO:2000627,protein
SRRM4,GO:0000381,protein
SOBP,GO:0050890,protein
WASHC1,GO:0006887,protein
WASHC1,GO:0022617,protein
WASHC1,GO:0030335,protein
WASHC1,GO:0031274,protein
WASHC1,GO:0032456,protein
WASHC1,GO:0034314,protein
WASHC1,GO:0042147,protein
A2ML1,GO:0052548,protein
CYSRT1,GO:0051702,protein
CYSRT1,GO:0061436,protein
CENPX,GO:0000712,protein
CENPX,GO:0031297,protein
CENPX,GO:0036297,protein
FOXI3,GO:0060037,protein
HMSD,GO:0002253,protein
BBIP1,GO:0060271,protein
LGALS16,GO:0070234,protein
CSKMT,GO:0006479,protein
CSKMT,GO:0018023,protein
CSKMT,GO:0018026,protein
CSKMT,GO:0018027,protein
HEPACAM2,GO:0007098,protein
PHF20L1,GO:0032435,protein
PHF20L1,GO:0042177,protein
BECN2,GO:0006914,protein
BECN2,GO:0008333,protein
BECN2,GO:1990172,protein
KCNU1,GO:0022414,protein
KCNU1,GO:0071805,protein
MIF4GD,GO:0002191,protein
ESPN,GO:0030034,protein
MYO9A,GO:0034329,protein
MYO9A,GO:0045198,protein
ZBTB42,GO:0007517,protein
EPM2A,GO:0016239,protein
EPM2A,GO:0032007,protein
TARM1,GO:2000515,protein
GPR89A,GO:0043123,protein
GPR89A,GO:0051452,protein
SCRIB,GO:0045947,protein
ZNF689,GO:0006357,protein
PRKCH,GO:0017148,protein
PRKCH,GO:0032056,protein
PRKCH,GO:0034198,protein
PRKCH,GO:0071901,protein
MCRIP1,GO:0010717,protein
KBTBD13,GO:0014728,protein
KBTBD13,GO:0090076,protein
MCIDAS,GO:0007346,protein
MCIDAS,GO:0030174,protein
MCIDAS,GO:0044458,protein
MCIDAS,GO:1902017,protein
STMP1,GO:0033617,protein
STMP1,GO:0097250,protein
TMEM250,GO:0008284,protein
TMEM250,GO:0048524,protein
PANO1,GO:0031647,protein
PANO1,GO:0032435,protein
PANO1,GO:0043065,protein
SLC35A4,GO:0032056,protein
MIEF1,GO:0000266,protein
MIEF1,GO:0032981,protein
MIEF1,GO:0070131,protein
MIEF1,GO:1902775,protein
DCDC1,GO:1902412,protein
AGPS,GO:0008610,protein
UBXN8,GO:0036503,protein
KIF2A,GO:0000226,protein
KIF2A,GO:0007052,protein
KIF2A,GO:0030334,protein
KIF2A,GO:0090307,protein
FZD9,GO:0043524,protein
FZD9,GO:0051726,protein
FZD9,GO:2000179,protein
DDX39A,GO:0000398,protein
DDX39A,GO:0006406,protein
ACOT7,GO:0015937,protein
ACOT7,GO:0036114,protein
ACOT7,GO:0036116,protein
ACOT7,GO:0051792,protein
ACOT7,GO:1900535,protein
MYO1C,GO:0006612,protein
MYO1C,GO:0030335,protein
MYO1C,GO:0038084,protein
MYO1C,GO:2000810,protein
SNAP23,GO:0002553,protein
HAX1,GO:0007005,protein
HAX1,GO:0030833,protein
HAX1,GO:0030854,protein
HAX1,GO:0038158,protein
HAX1,GO:0043066,protein
HAX1,GO:0045944,protein
HAX1,GO:0050731,protein
HAX1,GO:0051897,protein
HAX1,GO:0071345,protein
HAX1,GO:0110053,protein
AIP,GO:0006626,protein
AIP,GO:0022417,protein
CCL24,GO:0001938,protein
CCL24,GO:0007010,protein
CCL24,GO:0008360,protein
CCL24,GO:0030335,protein
CCL24,GO:0030838,protein
CCL24,GO:0043547,protein
CCL24,GO:0048245,protein
GTPBP1,GO:0002181,protein
KCNK1,GO:0035725,protein
KCNK1,GO:0060075,protein
KCNK1,GO:0071805,protein
LGALS9,GO:0032673,protein
LGALS9,GO:0032674,protein
LGALS9,GO:0034134,protein
LGALS9,GO:0034142,protein
LGALS9,GO:0097029,protein
LGALS9,GO:1900744,protein
LGALS9,GO:0002519,protein
LGALS9,GO:0006954,protein
LGALS9,GO:0007565,protein
LGALS9,GO:0010628,protein
LGALS9,GO:0010629,protein
LGALS9,GO:0032496,protein
LGALS9,GO:0032682,protein
LGALS9,GO:0032689,protein
LGALS9,GO:0032720,protein
LGALS9,GO:0032729,protein
LGALS9,GO:0032731,protein
LGALS9,GO:0032733,protein
LGALS9,GO:0032735,protein
LGALS9,GO:0032736,protein
LGALS9,GO:0032753,protein
LGALS9,GO:0032755,protein
LGALS9,GO:0032757,protein
LGALS9,GO:0032760,protein
LGALS9,GO:0032834,protein
LGALS9,GO:0038066,protein
LGALS9,GO:0043123,protein
LGALS9,GO:0043305,protein
LGALS9,GO:0045953,protein
LGALS9,GO:0046007,protein
LGALS9,GO:0046598,protein
LGALS9,GO:0051092,protein
LGALS9,GO:0060135,protein
LGALS9,GO:0070241,protein
LGALS9,GO:0070371,protein
LGALS9,GO:0070374,protein
LGALS9,GO:0070555,protein
LGALS9,GO:0071346,protein
LGALS9,GO:0071636,protein
LGALS9,GO:0071639,protein
LGALS9,GO:0098586,protein
LGALS9,GO:1901224,protein
LGALS9,GO:2000510,protein
LGALS9,GO:2000562,protein
LGALS9,GO:2000563,protein
LGALS9,GO:2000670,protein
LGALS9,GO:2001190,protein
LGALS9,GO:2001200,protein
LGALS9,GO:2001269,protein
STXBP3,GO:0045955,protein
STXBP3,GO:0070527,protein
MASP2,GO:0001867,protein
AP4M1,GO:0000045,protein
AP4M1,GO:0006605,protein
AP4M1,GO:0006622,protein
AP4M1,GO:0006886,protein
AP4M1,GO:0006895,protein
AP4M1,GO:0090160,protein
ARVCF,GO:0008380,protein
RAB27B,GO:0045921,protein
RAB27B,GO:0071985,protein
HRK,GO:0031334,protein
HRK,GO:0043065,protein
HRK,GO:0090200,protein
AP3B1,GO:0032438,protein
SULT2B1,GO:0008202,protein
SULT2B1,GO:0008203,protein
SULT2B1,GO:0008285,protein
SULT2B1,GO:0045606,protein
SULT2B1,GO:0050427,protein
TLR4,GO:0031663,protein
TLR4,GO:0051092,protein
TLR4,GO:0032496,protein
TLR4,GO:0002224,protein
TLR4,GO:0002755,protein
TLR4,GO:0006909,protein
TLR4,GO:0007252,protein
TLR4,GO:0010628,protein
TLR4,GO:0032497,protein
TLR4,GO:0032722,protein
TLR4,GO:0032731,protein
TLR4,GO:0032735,protein
TLR4,GO:0032755,protein
TLR4,GO:0032757,protein
TLR4,GO:0032760,protein
TLR4,GO:0034142,protein
TLR4,GO:0042116,protein
TLR4,GO:0042742,protein
TLR4,GO:0043123,protein
TLR4,GO:0050729,protein
TLR4,GO:0071222,protein
TLR4,GO:0071346,protein
TLR4,GO:0140052,protein
TLR4,GO:1900017,protein
TLR4,GO:1901224,protein
TLR4,GO:1903974,protein
TLR4,GO:1904466,protein
TLR4,GO:1904646,protein
TLR4,GO:2000343,protein
RHOD,GO:0030032,protein
RHOD,GO:0030335,protein
RHOD,GO:0045785,protein
RHOD,GO:0048041,protein
RHOD,GO:0051017,protein
APBB1,GO:0000122,protein
APBB1,GO:0006974,protein
APBB1,GO:0010976,protein
APBB1,GO:0043065,protein
APBB1,GO:0045893,protein
LGALS8,GO:0098586,protein
LGALS8,GO:0098792,protein
LGALS8,GO:1904977,protein
NDUFS8,GO:0006120,protein
NDUFS8,GO:0006979,protein
NDUFS8,GO:0032981,protein
HAS3,GO:0030213,protein
HAS3,GO:0045893,protein
HAS3,GO:1900106,protein
TNFRSF10A,GO:0036462,protein
TNFRSF10A,GO:0097191,protein
GRM8,GO:0007193,protein
GRM8,GO:0007196,protein
CORT,GO:0007193,protein
PSMD11,GO:0006511,protein
PSMD11,GO:0043248,protein
PSMD11,GO:0048863,protein
PSMD9,GO:0070682,protein
RNF103,GO:0016567,protein
RNF103,GO:0036503,protein
BMPR1B,GO:0010628,protein
BMPR1B,GO:0001649,protein
BMPR1B,GO:0030501,protein
BMPR1B,GO:0030509,protein
BMPR1B,GO:0045669,protein
BMPR1B,GO:0045944,protein
BMPR1B,GO:0071773,protein
AGRP,GO:0007218,protein
AGRP,GO:0060259,protein
MEN1,GO:0002076,protein
MEN1,GO:0045668,protein
MEN1,GO:0000122,protein
MEN1,GO:0000165,protein
MEN1,GO:0001933,protein
MEN1,GO:0006974,protein
MEN1,GO:0008285,protein
MEN1,GO:0009411,protein
MEN1,GO:0010332,protein
MEN1,GO:0030511,protein
MEN1,GO:0043433,protein
MEN1,GO:0045064,protein
MEN1,GO:0045736,protein
MEN1,GO:0045786,protein
MEN1,GO:0045815,protein
MEN1,GO:0045892,protein
MEN1,GO:0045944,protein
MEN1,GO:0046329,protein
MEN1,GO:0051974,protein
CBX4,GO:0000122,protein
CBX4,GO:0045892,protein
GET1,GO:0045048,protein
GET1,GO:0050821,protein
GET1,GO:0071816,protein
PGRMC1,GO:0006783,protein
PGRMC1,GO:0140077,protein
PGRMC1,GO:1903078,protein
SUPT5H,GO:0000122,protein
SUPT5H,GO:0006368,protein
SUPT5H,GO:0016239,protein
SUPT5H,GO:0032785,protein
SUPT5H,GO:0032786,protein
SUPT5H,GO:0034243,protein
SUPT5H,GO:0045944,protein
TAF4,GO:0006352,protein
TAF4,GO:0006357,protein
TAF4,GO:0006367,protein
TAF4,GO:0042789,protein
TAF4,GO:0060261,protein
GPR31,GO:0007186,protein
GPR31,GO:0010447,protein
DFFA,GO:1902511,protein
DFFA,GO:0032076,protein
DFFA,GO:0061077,protein
DFFA,GO:1900118,protein
RFXAP,GO:0045944,protein
HIP1,GO:0006915,protein
HIP1,GO:0006919,protein
HIP1,GO:0042981,protein
HIP1,GO:0048268,protein
HIP1,GO:0045742,protein
HIP1,GO:0048260,protein
HIP1,GO:0050821,protein
HIP1,GO:0097190,protein
HIP1,GO:2000588,protein
TULP1,GO:0001895,protein
TULP1,GO:0050766,protein
TULP1,GO:0050908,protein
CLIC1,GO:0006821,protein
CLIC1,GO:0070527,protein
EIF3F,GO:0006413,protein
EIF3F,GO:0075522,protein
CACNB4,GO:1901385,protein
WWP2,GO:0016567,protein
WWP2,GO:0000122,protein
WWP2,GO:0006858,protein
WWP2,GO:0010629,protein
WWP2,GO:0032410,protein
WWP2,GO:0034765,protein
WWP2,GO:0042391,protein
WWP2,GO:0043161,protein
WWP2,GO:0051224,protein
WWP2,GO:0051865,protein
WWP2,GO:1901016,protein
CDC7,GO:0008284,protein
CDC7,GO:0010571,protein
CDC7,GO:0010971,protein
CDC7,GO:0044770,protein
UPK1A,GO:0030855,protein
PIK3CD,GO:0016310,protein
PIK3CD,GO:0001938,protein
PIK3CD,GO:0010595,protein
PIK3CD,GO:0010628,protein
PIK3CD,GO:0030335,protein
PIK3CD,GO:0033031,protein
PIK3CD,GO:0038084,protein
PIK3CD,GO:0043491,protein
PIK3CD,GO:1905278,protein
PDHX,GO:0006086,protein
SLC28A1,GO:0015861,protein
SLC28A1,GO:0015862,protein
SLC28A1,GO:0045117,protein
SLC28A1,GO:0072531,protein
SLC28A1,GO:0180015,protein
SLC28A1,GO:1901642,protein
SULT1C2,GO:0051923,protein
SLC1A7,GO:0001504,protein
FOXE1,GO:0006357,protein
FOXE1,GO:0030878,protein
FOXE1,GO:0045893,protein
FOXE1,GO:0060022,protein
FOXE1,GO:0060023,protein
QSOX1,GO:0016242,protein
QSOX1,GO:0085029,protein
SLC33A1,GO:0035348,protein
WASL,GO:0030041,protein
WASL,GO:0045944,protein
WASL,GO:1903526,protein
WASL,GO:2000402,protein
PDE2A,GO:0000122,protein
PDE2A,GO:0007193,protein
PDE2A,GO:0010752,protein
PDE2A,GO:0019933,protein
PDE2A,GO:0019934,protein
PDE2A,GO:0036006,protein
PDE2A,GO:0043116,protein
PDE2A,GO:0043117,protein
PDE2A,GO:0043949,protein
PDE2A,GO:0046069,protein
PDE2A,GO:0071320,protein
PDE2A,GO:0071321,protein
PDE2A,GO:0106072,protein
PDE2A,GO:1904613,protein
FOXN3,GO:0007095,protein
FOXN3,GO:0045892,protein
IPO5,GO:0002753,protein
IPO5,GO:0006606,protein
IPO5,GO:0006610,protein
POLRMT,GO:0006390,protein
POLRMT,GO:0006391,protein
EEF2K,GO:0046777,protein
SAP18,GO:0000381,protein
SAP18,GO:0043065,protein
SAP18,GO:0048025,protein
EML1,GO:0007420,protein
IGF2BP3,GO:0070934,protein
DNM1L,GO:0007029,protein
DNM1L,GO:0000266,protein
DNM1L,GO:0007005,protein
DNM1L,GO:0065003,protein
DNM1L,GO:0001836,protein
DNM1L,GO:0010821,protein
DNM1L,GO:0016559,protein
DNM1L,GO:0043065,protein
DNM1L,GO:0043653,protein
DNM1L,GO:0048312,protein
DNM1L,GO:0050714,protein
DNM1L,GO:0051259,protein
DNM1L,GO:0061025,protein
DNM1L,GO:0070266,protein
DNM1L,GO:0090023,protein
DNM1L,GO:0090141,protein
DNM1L,GO:0090149,protein
DNM1L,GO:0090200,protein
DNM1L,GO:1900063,protein
DNM1L,GO:1901524,protein
DNM1L,GO:2001244,protein
PIK3C2A,GO:0006897,protein
PIK3C2A,GO:0010508,protein
PIK3C2A,GO:0090050,protein
PLK4,GO:0046601,protein
PLK4,GO:0006468,protein
PLK4,GO:0007099,protein
PLK4,GO:0060271,protein
GFRA2,GO:0035860,protein
LST1,GO:0016358,protein
LST1,GO:0050672,protein
PIK3R2,GO:0010506,protein
PIK3R2,GO:0043409,protein
PIK3R2,GO:0043491,protein
TRAF5,GO:0051091,protein
TRAF5,GO:0051092,protein
AGRN,GO:0043113,protein
PLOD2,GO:0006493,protein
PLOD2,GO:0017185,protein
PLOD2,GO:0046947,protein
ELL2,GO:0042795,protein
SLC17A3,GO:0015711,protein
SLC17A3,GO:0015747,protein
SLC17A3,GO:0046415,protein
SLC17A3,GO:1990961,protein
BTN3A3,GO:0002456,protein
BTN3A1,GO:0001819,protein
BTN3A1,GO:0032729,protein
BTN3A1,GO:0050798,protein
BTN3A1,GO:0050852,protein
NR5A2,GO:0006355,protein
NR5A2,GO:0045070,protein
NR5A2,GO:0045893,protein
NR5A2,GO:0045944,protein
NDUFA4,GO:1904960,protein
PSMD14,GO:0000724,protein
PSMD14,GO:0006303,protein
PSMD14,GO:0061136,protein
PSMD14,GO:0070536,protein
ZNF593,GO:0045944,protein
ZNF593,GO:1903026,protein
BIN1,GO:0000122,protein
BIN1,GO:0006997,protein
BIN1,GO:0008333,protein
BIN1,GO:0010564,protein
BIN1,GO:0033292,protein
BIN1,GO:0043065,protein
BIN1,GO:0045664,protein
BIN1,GO:0048711,protein
BIN1,GO:0060988,protein
BIN1,GO:1902430,protein
BIN1,GO:1902960,protein
CLDN5,GO:0007043,protein
CLDN5,GO:0007179,protein
CLDN5,GO:0008284,protein
CLDN5,GO:0010628,protein
CLDN5,GO:0010629,protein
CLDN5,GO:0016525,protein
CLDN5,GO:0030336,protein
CLDN5,GO:0032092,protein
CLDN5,GO:0035633,protein
CLDN5,GO:0043116,protein
CLDN5,GO:1903142,protein
CLDN5,GO:1903348,protein
CLDN5,GO:1990963,protein
STK25,GO:0006468,protein
STK25,GO:0032874,protein
STK25,GO:0034599,protein
STK25,GO:0036481,protein
STK25,GO:0046777,protein
STK25,GO:0051645,protein
STK25,GO:0051683,protein
STK25,GO:0090168,protein
BCL9,GO:0017015,protein
FAAH,GO:0009062,protein
