DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
D000077185,D009436,26,15,15,0.5769230769230769
D002746,D006973,33,12,4,0.0975609756097561
C118258,D007938,34,30,30,0.8823529411764706
D014807,D010024,54,28,24,0.41379310344827586
D015251,D006689,13,10,9,0.6428571428571429
D008801,D001145,16,4,4,0.25
D005476,D011618,3,5,2,0.3333333333333333
D016589,D065631,13,5,4,0.2857142857142857
D020913,D009203,38,19,11,0.2391304347826087
C021751,D050197,1,1,1,1.0
D006493,D001249,76,47,45,0.5769230769230769
D024502,D015473,47,36,34,0.6938775510204082
C065299,D008113,11,33,6,0.15789473684210525
D004221,D001008,36,27,25,0.6578947368421053
C007768,D002583,10,14,6,0.3333333333333333
D015474,D011230,6,21,3,0.125
D004317,D013274,263,165,157,0.5793357933579336
D000077237,D004938,73,66,66,0.9041095890410958
D016190,D009373,14,5,5,0.35714285714285715
D008801,D009437,11,3,1,0.07692307692307693
D010634,D012559,2,14,1,0.06666666666666667
C548651,D003092,12,13,8,0.47058823529411764
D008315,D015464,16,4,4,0.25
C058305,D003093,64,53,53,0.828125
D011803,D001943,105,146,38,0.1784037558685446
D000077547,D002289,2,2,2,1.0
D010646,D007511,19,11,8,0.36363636363636365
D028321,D009374,57,30,29,0.5
D003474,D006930,77,59,56,0.7
C043561,D004487,27,18,17,0.6071428571428571
D004958,D001008,45,36,36,0.8
D007213,D000230,96,58,51,0.49514563106796117
D010869,D007022,16,15,7,0.2916666666666667
C004965,D010146,37,5,5,0.13513513513513514
D003474,D009374,60,50,50,0.8333333333333334
D019821,D006965,26,18,18,0.6923076923076923
D017878,D064420,7,10,5,0.4166666666666667
D001961,D009336,4,1,0,0.0
D017258,D009362,93,90,63,0.525
D008687,D009765,27,52,17,0.27419354838709675
D017239,D001749,46,70,36,0.45
D003633,D006946,24,8,8,0.3333333333333333
D000086,D005901,8,6,6,0.75
C065927,D006973,11,42,11,0.2619047619047619
D003474,D005355,53,45,41,0.7192982456140351
D002927,D012468,42,17,17,0.40476190476190477
D000077288,D000419,20,15,15,0.75
D000077152,D003072,35,22,19,0.5
D028321,D006937,15,10,8,0.47058823529411764
C042577,D018450,49,55,29,0.38666666666666666
D002117,D009101,39,34,34,0.8717948717948718
D003024,D012559,18,21,10,0.3448275862068966
D005707,D006937,21,14,14,0.6666666666666666
D004112,D008569,26,18,12,0.375
C005499,D009361,44,82,36,0.4
D017316,D017379,8,9,4,0.3076923076923077
D001622,D009436,1,4,0,0.0
D013654,D008569,13,5,2,0.125
C061532,D006948,1,1,1,1.0
D000077143,D009374,56,21,20,0.3508771929824561
D002090,D011618,6,1,1,0.16666666666666666
D008775,D012595,14,7,7,0.5
C030419,D056486,58,88,30,0.25862068965517243
D017239,D012008,39,30,29,0.725
D001379,D009205,16,8,8,0.5
D008012,D019970,31,57,20,0.29411764705882354
C084656,D011471,1,1,1,1.0
D015251,D010051,35,59,25,0.36231884057971014
D002857,D003924,44,57,31,0.44285714285714284
D000077185,D004719,12,10,10,0.8333333333333334
D009287,D010146,33,10,8,0.22857142857142856
C077990,D006258,21,18,16,0.6956521739130435
D002857,D065626,31,37,23,0.5111111111111111
D009020,D006948,28,10,9,0.3103448275862069
D000068296,D010024,8,21,3,0.11538461538461539
D014212,D003324,81,58,58,0.7160493827160493
D000069286,D009369,58,37,37,0.6379310344827587
D003687,D006973,87,42,27,0.2647058823529412
D015251,D006258,21,11,10,0.45454545454545453
C013738,D009336,3,19,2,0.1
D001623,D001169,7,21,6,0.2727272727272727
D017291,D004487,18,3,2,0.10526315789473684
D000077209,D015464,19,14,14,0.7368421052631579
D008555,D009374,51,32,27,0.48214285714285715
D019821,D009203,65,52,41,0.5394736842105263
D001262,D006973,45,64,26,0.3132530120481928
C007836,D010190,32,39,21,0.42
D002211,D018149,28,19,18,0.6206896551724138
D009538,D003866,38,20,19,0.48717948717948717
D000077340,D002471,24,55,18,0.29508196721311475
D011374,D009422,52,28,28,0.5384615384615384
D002047,D013375,6,4,4,0.6666666666666666
D012643,D008569,42,19,19,0.4523809523809524
D011239,D007249,19,55,14,0.23333333333333334
D000661,D012640,13,19,7,0.28
D011794,D048629,25,21,21,0.84
D008550,D008114,28,34,22,0.55
D000086,D012640,65,43,30,0.38461538461538464
C107773,D015464,17,12,11,0.6111111111111112
D013467,D003930,11,9,9,0.8181818181818182
C000719156,D006930,1,1,1,1.0
C038044,D011658,5,29,2,0.0625
D014750,D008527,12,21,7,0.2692307692307692
C064294,D006332,5,21,4,0.18181818181818182
D015738,D007680,32,11,10,0.30303030303030304
C005274,D015431,37,12,12,0.32432432432432434
D004008,D004487,16,14,11,0.5789473684210527
C061004,D006973,11,42,11,0.2619047619047619
C501332,D055752,7,9,5,0.45454545454545453
D000894,D001172,4,4,4,1.0
D000077285,D020734,13,11,8,0.5
D000077288,D003924,51,60,31,0.3875
D004317,D006394,17,14,14,0.8235294117647058
D001379,D001327,25,16,12,0.41379310344827586
D012701,D001919,21,12,10,0.43478260869565216
D019257,D000077192,49,2,0,0.0
D011433,D002312,23,14,14,0.6086956521739131
D011794,D058186,86,65,62,0.6966292134831461
D002354,D001145,12,3,2,0.15384615384615385
D006854,D056784,9,3,3,0.3333333333333333
D010100,D055371,31,25,25,0.8064516129032258
C013738,D007674,3,27,2,0.07142857142857142
D000894,D006073,7,4,3,0.375
C107773,D006943,27,17,15,0.5172413793103449
D004365,D009336,53,23,23,0.4339622641509434
D013792,D003876,33,25,22,0.6111111111111112
D011239,D008181,9,2,2,0.2222222222222222
C443401,D006984,13,13,12,0.8571428571428571
D019772,D002289,37,59,24,0.3333333333333333
C401859,D008654,9,24,7,0.2692307692307692
D011738,D010146,17,22,10,0.3448275862068966
D001241,D007022,50,26,26,0.52
C435072,D013927,1,1,1,1.0
C007836,D005355,26,29,14,0.34146341463414637
D014280,D017114,3,10,0,0.0
D001971,D010911,3,6,3,0.5
D008042,D007249,1,1,1,1.0
D006221,D006973,1,1,1,1.0
D008687,D006331,41,17,17,0.4146341463414634
D006569,D006332,13,33,8,0.21052631578947367
D019821,D006937,23,16,16,0.6956521739130435
C561695,D004342,33,19,18,0.5294117647058824
D004155,D013375,2,7,2,0.2857142857142857
D011342,D003324,1,5,1,0.2
C045444,D001930,31,2,1,0.03125
D005442,D012640,12,9,1,0.05
C038044,D006943,3,8,3,0.375
D000068718,D007249,97,19,15,0.1485148514851485
D004492,D009422,49,20,20,0.40816326530612246
D008687,D009362,16,78,12,0.14634146341463414
D001629,D003924,47,56,29,0.3918918918918919
D014494,D020261,5,10,3,0.25
D000077339,D001169,1,1,1,1.0
D000069059,D006937,17,12,9,0.45
D017035,D003920,25,9,8,0.3076923076923077
D059808,D015430,16,21,5,0.15625
C050414,D004719,1,1,0,0.0
C060299,D008545,1,1,0,0.0
D003520,D007938,1,13,1,0.07692307692307693
C107773,D003921,83,47,44,0.5116279069767442
D004958,D001943,469,357,344,0.7136929460580913
D015248,D003327,15,4,4,0.26666666666666666
C077792,D013119,1,1,1,1.0
D010936,D009369,63,42,41,0.640625
D002118,D003092,25,22,21,0.8076923076923077
D007464,D015470,87,55,47,0.49473684210526314
D013629,D008113,131,76,73,0.5447761194029851
D010431,D001932,15,20,11,0.4583333333333333
D000077185,D005922,36,23,23,0.6388888888888888
D004610,D002543,1,1,1,1.0
D002857,D006937,19,10,7,0.3181818181818182
D000077337,D002289,129,77,72,0.5373134328358209
D005492,D011085,84,34,21,0.21649484536082475
C019273,D006965,23,15,14,0.5833333333333334
D008787,D004487,22,15,14,0.6086956521739131
D018967,D001714,25,18,13,0.43333333333333335
D000077333,D003921,3,12,1,0.07142857142857142
D008911,D064420,66,25,20,0.28169014084507044
D014807,D011471,40,67,19,0.2159090909090909
D008727,D001169,10,22,9,0.391304347826087
D000077205,D009203,75,55,49,0.6049382716049383
D014750,D010051,26,49,19,0.3392857142857143
D006830,D001919,19,8,6,0.2857142857142857
D013469,D010146,17,16,7,0.2692307692307692
D008775,D016403,39,15,15,0.38461538461538464
D000068579,D008180,46,34,27,0.5094339622641509
D000077285,D018487,22,28,17,0.5151515151515151
D005576,D002471,109,80,75,0.6578947368421053
C519817,D006930,12,25,3,0.08823529411764706
D008063,D006946,18,10,8,0.4
D048789,D008569,3,10,2,0.18181818181818182
C016766,D009336,54,42,42,0.7777777777777778
D004110,D010146,17,19,11,0.44
D007213,D006976,39,23,23,0.5897435897435898
D000894,D000236,29,1,1,0.034482758620689655
D008687,D002277,13,51,8,0.14285714285714285
D000602,D012640,11,28,8,0.25806451612903225
D000077337,D008527,47,30,30,0.6382978723404256
D007665,D001249,3,8,0,0.0
D000077185,D004715,142,100,91,0.6026490066225165
