DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
U898,C0009806,136,86,75,0.5102040816326531
U260,C0018681,36,30,30,0.8333333333333334
U359,C0020429,78,73,73,0.9358974358974359
U834,C0018681,35,26,26,0.7428571428571429
U700,C0020429,77,59,59,0.7662337662337663
U559,C0013595,32,25,25,0.78125
U265,C0020429,77,67,67,0.8701298701298701
U263,C0033774,57,50,50,0.8771929824561403
U1010,C0917816,114,19,11,0.09016393442622951
U711,C0003862,69,51,48,0.6666666666666666
U244,C0010200,23,21,21,0.9130434782608695
U160,C0013491,67,54,54,0.8059701492537313
U230,C0086132,28,21,21,0.75
U891,C0015967,120,88,87,0.71900826446281
U890,C0008031,37,33,33,0.8918918918918919
U612,C0018834,6,24,4,0.15384615384615385
U399,C0000737,38,17,7,0.14583333333333334
U524,C0020429,77,69,68,0.8717948717948718
U76,C0030193,77,68,67,0.8589743589743589
U544,C0010200,23,19,19,0.8260869565217391
U95,C0010200,23,20,20,0.8695652173913043
U680,C0030193,78,69,69,0.8846153846153846
U335,C0011991,103,53,48,0.4444444444444444
U784,C0009806,143,82,76,0.5100671140939598
U43,C0018681,25,19,15,0.5172413793103449
U659,C0011991,110,68,64,0.5614035087719298
U584,C0010200,21,17,17,0.8095238095238095
U36,C0000737,92,64,64,0.6956521739130435
U538,C0030193,77,57,57,0.7402597402597403
U360,C0020429,78,73,73,0.9358974358974359
U236,C0030193,76,63,62,0.8051948051948052
U214,C0020429,75,61,60,0.7894736842105263
U614,C0011991,100,53,48,0.45714285714285713
U713,C0030193,75,56,55,0.7236842105263158
U834,C0011991,111,59,57,0.504424778761062
U116,C0012833,27,20,20,0.7407407407407407
U669,C0008031,37,35,35,0.9459459459459459
U566,C0030193,77,55,55,0.7142857142857143
U172,C0030193,69,40,37,0.5138888888888888
U76,C0237326,132,102,102,0.7727272727272727
U86,C0030193,64,44,38,0.5428571428571428
U260,C0020429,78,71,71,0.9102564102564102
