DrugID,DiseaseID,genes_count_ppi,genes_count_msi,same_genes_count,Jaccard_similarity
D000077185,D009436,26,26,26,1.0
D002746,D006973,33,33,33,1.0
C118258,D007938,34,34,34,1.0
D014807,D010024,54,54,54,1.0
D015251,D006689,13,13,13,1.0
D008801,D001145,16,16,16,1.0
D005476,D011618,3,3,3,1.0
D016589,D065631,13,13,13,1.0
D020913,D009203,38,38,38,1.0
C021751,D050197,1,1,1,1.0
D006493,D001249,76,76,76,1.0
D024502,D015473,47,47,47,1.0
C065299,D008113,11,11,11,1.0
D004221,D001008,36,36,36,1.0
C007768,D002583,10,10,10,1.0
D015474,D011230,6,6,6,1.0
D004317,D013274,263,263,263,1.0
D000077237,D004938,73,73,73,1.0
D016190,D009373,14,14,14,1.0
D008801,D009437,11,11,11,1.0
D010634,D012559,2,2,2,1.0
C548651,D003092,12,12,12,1.0
D008315,D015464,16,16,16,1.0
C058305,D003093,64,64,64,1.0
D011803,D001943,105,105,105,1.0
D000077547,D002289,2,2,2,1.0
D010646,D007511,19,19,19,1.0
D028321,D009374,57,57,57,1.0
D003474,D006930,77,77,77,1.0
C043561,D004487,27,27,27,1.0
D004958,D001008,45,45,45,1.0
D007213,D000230,96,96,96,1.0
D010869,D007022,16,16,16,1.0
C004965,D010146,37,37,37,1.0
D003474,D009374,60,60,60,1.0
D019821,D006965,26,26,26,1.0
D017878,D064420,7,7,7,1.0
D001961,D009336,4,4,4,1.0
D017258,D009362,93,93,93,1.0
D008687,D009765,27,27,27,1.0
D017239,D001749,46,46,46,1.0
D003633,D006946,24,24,24,1.0
D000086,D005901,8,8,8,1.0
C065927,D006973,11,11,11,1.0
D003474,D005355,53,53,53,1.0
D002927,D012468,42,42,42,1.0
D000077288,D000419,20,20,20,1.0
D000077152,D003072,35,35,35,1.0
D028321,D006937,15,15,15,1.0
C042577,D018450,49,49,49,1.0
D002117,D009101,39,39,39,1.0
D003024,D012559,18,18,18,1.0
D005707,D006937,21,21,21,1.0
D004112,D008569,26,26,26,1.0
C005499,D009361,44,44,44,1.0
D017316,D017379,8,8,8,1.0
D001622,D009436,1,1,1,1.0
D013654,D008569,13,13,13,1.0
C061532,D006948,1,1,1,1.0
D000077143,D009374,56,56,56,1.0
D002090,D011618,6,6,6,1.0
D008775,D012595,14,14,14,1.0
C030419,D056486,58,58,58,1.0
D017239,D012008,39,39,39,1.0
D001379,D009205,16,16,16,1.0
D008012,D019970,31,31,31,1.0
C084656,D011471,1,1,1,1.0
D015251,D010051,35,35,35,1.0
D002857,D003924,44,44,44,1.0
D000077185,D004719,12,12,12,1.0
D009287,D010146,33,33,33,1.0
C077990,D006258,21,21,21,1.0
D002857,D065626,31,31,31,1.0
D009020,D006948,28,28,28,1.0
D000068296,D010024,8,8,8,1.0
D014212,D003324,81,81,81,1.0
D000069286,D009369,58,58,58,1.0
D003687,D006973,87,87,87,1.0
D015251,D006258,21,21,21,1.0
C013738,D009336,3,3,3,1.0
D001623,D001169,7,7,7,1.0
D017291,D004487,18,18,18,1.0
D000077209,D015464,19,19,19,1.0
D008555,D009374,51,51,51,1.0
D019821,D009203,65,65,65,1.0
D001262,D006973,45,45,45,1.0
C007836,D010190,32,32,32,1.0
D002211,D018149,28,28,28,1.0
D009538,D003866,38,38,38,1.0
D000077340,D002471,24,24,24,1.0
D011374,D009422,52,52,52,1.0
D002047,D013375,6,6,6,1.0
D012643,D008569,42,42,42,1.0
D011239,D007249,19,19,19,1.0
D000661,D012640,13,13,13,1.0
D011794,D048629,25,25,25,1.0
D008550,D008114,28,28,28,1.0
D000086,D012640,65,65,65,1.0
C107773,D015464,17,17,17,1.0
D013467,D003930,11,11,11,1.0
C000719156,D006930,1,1,1,1.0
C038044,D011658,5,5,5,1.0
D014750,D008527,12,12,12,1.0
C064294,D006332,5,5,5,1.0
