Drug ID,Disease ID,P,P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P_Ratio,P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio
D000077185,MESH:D009436,0,1,103,19,0,0,1,10,0,1,0,0,0,0.01,0.76,0.14,0,0,0.01,0.07,0,0.01,0,0
D002746,MESH:D006973,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
C118258,MESH:D007938,0,1,5,0,0,0,0,1,0,0,0,0,0,0.14,0.71,0,0,0,0,0.14,0,0,0,0
D014807,MESH:D010024,0,1,4,0,0,1,0,0,0,0,0,0,0,0.17,0.67,0,0,0.17,0,0,0,0,0,0
D015251,MESH:D006689,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
D008801,MESH:D001145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
D005476,MESH:D011618,1,0,2,1,0,0,0,0,0,0,0,0,0.25,0,0.5,0.25,0,0,0,0,0,0,0,0
D016589,MESH:D065631,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.67,0.33,0,0,0,0,0,0,0,0
D020913,MESH:D009203,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
C021751,MESH:D050197,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
D006493,MESH:D001249,1,1,16,0,0,1,0,0,0,0,0,0,0.05,0.05,0.84,0,0,0.05,0,0,0,0,0,0
D024502,MESH:D015473,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0.25,0,0,0,0
C065299,MESH:D008113,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
D004221,MESH:D001008,0,2,17,5,0,1,2,2,0,0,0,0,0,0.07,0.59,0.17,0,0.03,0.07,0.07,0,0,0,0
C007768,MESH:D002583,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
D015474,MESH:D011230,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
D004317,MESH:D013274,10,1,42,2,0,1,0,0,0,0,0,0,0.18,0.02,0.75,0.04,0,0.02,0,0,0,0,0,0
D000077237,MESH:D004938,9,61,159,41,1,96,14,33,0,9,2,0,0.02,0.14,0.37,0.1,0.0,0.23,0.03,0.08,0,0.02,0.0,0
D016190,MESH:D009373,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0.5,0,0,0,0.25,0.25,0,0,0,0
D008801,MESH:D009437,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
D010634,MESH:D012559,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
C548651,MESH:D003092,1,0,3,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0,0,0,0,0
D008315,MESH:D015464,0,1,3,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0
C058305,MESH:D003093,0,18,14,8,0,6,0,4,0,0,0,0,0,0.36,0.28,0.16,0,0.12,0,0.08,0,0,0,0
