Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U898,C0009806,0,2,0,14,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.67,0.14,0,0.1,0,0,0,0,0,0,0,0,0,0
U260,C0018681,6,34,0,241,26,0,30,12,46,0,2,1,2,1,0,0,0,0.01,0.08,0,0.6,0.06,0,0.07,0.03,0.11,0,0.0,0.0,0.0,0.0,0,0,0
U359,C0020429,26,32,0,282,51,0,24,12,21,0,0,1,1,1,0,0,0,0.06,0.07,0,0.63,0.11,0,0.05,0.03,0.05,0,0,0.0,0.0,0.0,0,0,0
U834,C0018681,1,3,0,18,1,0,2,1,7,0,0,0,0,0,0,0,0,0.03,0.09,0,0.55,0.03,0,0.06,0.03,0.21,0,0,0,0,0,0,0,0
U700,C0020429,13,5,0,60,11,0,5,6,10,0,0,0,1,1,0,0,0,0.12,0.04,0,0.54,0.1,0,0.04,0.05,0.09,0,0,0,0.01,0.01,0,0,0
U559,C0013595,5,19,0,221,52,0,41,18,80,0,1,1,5,3,0,0,0,0.01,0.04,0,0.5,0.12,0,0.09,0.04,0.18,0,0.0,0.0,0.01,0.01,0,0,0
U265,C0020429,20,11,0,117,19,0,7,4,11,0,0,2,1,1,0,0,0,0.1,0.06,0,0.61,0.1,0,0.04,0.02,0.06,0,0,0.01,0.01,0.01,0,0,0
U263,C0033774,1,15,0,125,29,0,19,7,23,0,0,1,2,2,1,0,0,0.0,0.07,0,0.56,0.13,0,0.08,0.03,0.1,0,0,0.0,0.01,0.01,0.0,0,0
U1010,C0917816,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
U711,C0003862,0,1,0,19,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0.04,0,0.68,0.07,0,0,0.07,0.14,0,0,0,0,0,0,0,0
U244,C0010200,3,25,1,258,52,1,39,26,81,0,0,5,8,4,0,0,0,0.01,0.05,0.0,0.51,0.1,0.0,0.08,0.05,0.16,0,0,0.01,0.02,0.01,0,0,0
U160,C0013491,4,30,0,187,41,0,25,22,37,1,1,3,2,2,1,0,0,0.01,0.08,0,0.53,0.12,0,0.07,0.06,0.1,0.0,0.0,0.01,0.01,0.01,0.0,0,0
U230,C0086132,1,1,0,23,3,0,4,3,4,0,0,0,0,0,0,0,0,0.03,0.03,0,0.59,0.08,0,0.1,0.08,0.1,0,0,0,0,0,0,0,0
U891,C0015967,9,2,0,36,4,0,3,4,3,0,1,0,0,0,0,0,0,0.15,0.03,0,0.58,0.06,0,0.05,0.06,0.05,0,0.02,0,0,0,0,0,0
U890,C0008031,2,5,0,56,5,0,5,3,8,0,0,0,0,0,0,0,0,0.02,0.06,0,0.67,0.06,0,0.06,0.04,0.1,0,0,0,0,0,0,0,0
U612,C0018834,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
U399,C0000737,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
U524,C0020429,20,16,0,185,25,1,12,6,12,0,0,0,0,0,0,0,0,0.07,0.06,0,0.67,0.09,0.0,0.04,0.02,0.04,0,0,0,0,0,0,0,0
U76,C0030193,15,27,0,241,41,0,23,8,12,0,0,3,2,1,0,0,0,0.04,0.07,0,0.65,0.11,0,0.06,0.02,0.03,0,0,0.01,0.01,0.0,0,0,0
