Drug ID,Disease ID,P,P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P_Ratio,P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio
DB01262,C0023467,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB01092,C0018801,1,0,2,0,0,0,0,0,0,0,0,0,0,0.33,0,0.67,0,0,0,0,0,0,0,0,0,0
DB00004,C0079773,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.33,0.33,0,0,0,0,0.33,0,0,0,0,0
DB00055,C0040053,5,4,3,0,0,0,0,0,0,0,0,0,0,0.42,0.33,0.25,0,0,0,0,0,0,0,0,0,0
DB11629,C0020443,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0.38,0.12,0,0.5,0,0,0,0,0,0,0
DB00968,C0020538,1,1,2,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0,0,0,0,0,0,0,0,0
DB05541,C0036572,4,1,6,0,0,1,0,0,0,0,0,0,0,0.33,0.08,0.5,0,0,0.08,0,0,0,0,0,0,0
DB00288,C0079773,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB01380,C0004096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB06706,C0018681,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0.33,0,0,0,0,0
DB00571,C0018802,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0.6,0.2,0,0,0,0.2,0,0,0,0,0
DB00821,C0029408,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0.33,0,0,0,0,0,0,0.33,0.33,0
DB01045,C0025289,0,0,1,2,0,3,0,0,0,0,1,0,0,0,0,0.14,0.29,0,0.43,0,0,0,0,0.14,0,0
DB01206,C0006118,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
DB00568,C0020517,0,2,6,4,0,2,1,2,0,0,0,0,0,0,0.12,0.35,0.24,0,0.12,0.06,0.12,0,0,0,0,0
DB01005,C0002895,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0
DB06155,C0028754,1,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0
DB00887,C0018802,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0.33,0,0.5,0,0.17,0,0,0,0,0,0,0
DB00489,C0004238,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0.67,0,0,0,0,0.33,0,0,0,0,0
DB00418,C0014544,2,4,10,0,0,1,0,0,0,0,0,0,0,0.12,0.24,0.59,0,0,0.06,0,0,0,0,0,0,0
DB01018,C1263846,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00007,C0014170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
DB09080,C0024117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB11742,C0042109,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
DB00068,C0036220,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
DB01234,C0022548,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0.17,0.83,0,0,0,0,0,0,0,0,0,0
DB00443,C0011616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB01197,C0018802,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.2,0,0,0,0,0,0,0
DB00719,C0033774,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DB01281,C3495559,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00959,C0019829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB11994,C0029408,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0.09,0.82,0.09,0,0,0,0,0,0,0,0,0
DB00950,C0042109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
DB09280,C0010674,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DB00374,C0020542,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00313,C0002395,1,7,8,4,0,1,0,0,0,0,0,0,0,0.05,0.33,0.38,0.19,0,0.05,0,0,0,0,0,0,0
DB01070,C0029456,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DB00889,C0042963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
DB04842,C0036341,5,1,1,0,0,0,0,0,0,0,0,0,0,0.71,0.14,0.14,0,0,0,0,0,0,0,0,0,0
DB00783,C0029456,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0.89,0.11,0,0,0,0,0,0,0,0,0
DB01233,C0042963,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0.2,0,0,0,0,0,0
DB00694,C0023487,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
DB08936,C2607914,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DB00571,C0027051,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0
DB01260,C0015230,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00724,C0007117,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
prednisolone-sodium-phosphate,C0032285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00764,C0011616,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00262,C0024305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
DB00033,C0018916,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0
DB13036,C0004096,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
ACT-132577,C2973725,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
DB00996,C0014544,1,5,19,1,0,5,0,1,0,0,0,0,0,0.03,0.16,0.59,0.03,0,0.16,0,0.03,0,0,0,0,0
DB00443,C0003872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00937,C0028754,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00591,C0079773,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00722,C0011849,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB11274,C0030567,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00790,C0018802,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
DB00253,C0013182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00108,C0026769,1,0,3,1,0,3,2,2,0,0,0,0,0,0.08,0,0.25,0.08,0,0.25,0.17,0.17,0,0,0,0,0
DB01057,C0017601,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
DB12017,C0038454,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00420,C2607914,1,0,3,1,0,3,0,5,0,0,2,0,0,0.07,0,0.2,0.07,0,0.2,0,0.33,0,0,0.13,0,0
DB00620,C0033860,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
DB00873,C0020473,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00532,C0036572,4,1,2,0,0,0,0,0,0,0,0,0,0,0.57,0.14,0.29,0,0,0,0,0,0,0,0,0,0
dexamethasone-sodium-phosphate,C0020437,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB01181,C0023434,0,0,2,0,0,0,6,9,0,0,0,0,0,0,0,0.12,0,0,0,0.35,0.53,0,0,0,0,0
DB01114,C0020517,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.5,0,0,0,0,0
DB00387,C0030567,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
tepoxalin,C0003873,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DB00233,C0041296,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0.2,0,0,0.2,0,0.4,0,0,0.2,0,0
DB06470,C0030567,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
DB00482,C0029408,0,0,1,4,0,1,2,1,0,0,0,0,0,0,0,0.11,0.44,0,0.11,0.22,0.11,0,0,0,0,0
DB00539,C0376358,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
DB00086,C0034065,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB01033,C0023487,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0.4,0,0,0,0.2,0,0,0,0,0.2,0.2,0
DB00771,C0003811,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
DB00214,C0020538,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB00834,C0011849,1,1,3,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0,0,0,0,0,0,0,0,0,0
DB01628,C0003873,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
DB04924,C0018834,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0
DB01144,C0014544,0,0,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0.33,0,0.33,0.17,0.17,0,0,0,0,0
DB11783,C0018802,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0
DB00773,C0023467,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
DB00997,C0079744,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
