P-P_Ratio,P-P-P_Ratio
1,0
0.67,0
0.67,0.33
0.58,0
0.25,0.75
0.5,0.25
0.5,0.17
1,0
1,0
0,1
0.4,0.6
0,1
0.14,0.71
0,1
0.25,0.75
0,1
0,0.5
0.5,0.5
0.67,0.33
0.76,0.12
0.67,0.33
0,1
0,1
0,1
0,1
0.83,0.17
1,0
0.6,0.4
0,0
1,0
1,0
0.36,0.64
0,1
0,0
0.33,0.67
0.57,0.38
0,0
1,0
0.29,0
0.56,0.44
0.4,0.6
0.5,0.5
0,0
0.6,0.4
0.5,0.5
0.5,0.5
1,0
1,0
0,1
0.5,0.5
0.5,0.5
0.5,0.5
0.66,0.31
1,0
0,1
1,0
1,0
0.5,0.5
0.5,0.5
1,0
0.17,0.75
0,1
0,1
0,0.87
0.5,0.5
0,1
0.29,0.14
1,0
0.18,0.82
0.25,0.75
0,1
0,0
0,0.8
0,1
0.25,0.75
0.5,0.5
1,0
0.5,0.5
0.5,0.5
1,0
0.6,0.2
0,0
1,0
0.2,0.8
1,0
1,0
1,0
0.6,0.2
1,0
0,0
1,0
0.67,0
0,1
1,0
0.5,0.5
0,0
0.44,0.56
0.2,0.6
0.5,0.5
1,0
1,0
0.13,0.87
0.57,0.27
1,0
0,1
1,0
0.67,0
0.2,0
1,0
1,0
0,1
0.21,0.79
0,1
1,0
0.67,0.33
0.49,0.13
0.67,0
0,1
0.5,0.25
1,0
0.5,0.5
1,0
0.13,0.87
1,0
0.67,0
0,1
1,0
0.67,0.33
0.22,0.11
0,1
0,0
0.5,0.5
0,0
0,1
0,0
0,1
0.24,0.76
0,0.89
1,0
0.5,0.5
0,1
0.25,0.5
1,0
0,1
0.5,0.5
0,1
0.5,0.5
0.7,0.1
0.33,0.67
0.5,0.5
1,0
0.2,0.8
0.67,0
0.56,0
0,1
1,0
0,1
0.61,0.22
0.67,0.33
0.68,0.26
1,0
0.38,0.38
0,1
0.5,0.5
0.5,0.5
1,0
0.86,0
0,1
0.5,0
0.78,0.11
0,1
0,1
0.5,0.5
0.25,0.75
0.5,0.4
1,0
0.67,0.22
0,0.8
0,1
0.45,0.55
0.08,0.92
0.4,0.6
1,0
0.4,0.6
0,0.8
1,0
0,1
0.17,0.67
1,0
0,0.5
0.5,0.5
1,0
0.42,0.58
0,0
0,1
1,0
0,0.67
1,0
0.5,0.25
1,0
