Disease,gene_num_total,gene_num_in_graph
MESH:D006529,59,59
MESH:D012559,168,166
MESH:D058186,99,99
MESH:D000544,96,96
MESH:D006528,510,510
MESH:D003110,153,153
MESH:D006527,23,23
MESH:D008103,110,110
MESH:D008106,763,761
MESH:D008171,48,48
MESH:D008175,251,251
MESH:D009404,22,22
MESH:D011471,614,614
MESH:D056486,322,321
MESH:D001321,249,249
MESH:D020022,48,48
MESH:D012640,103,103
MESH:D050197,61,61
MESH:D015179,285,285
MESH:D006937,23,23
MESH:D007676,48,48
MESH:D015473,52,52
MESH:D010523,51,51
MESH:D012008,41,41
MESH:D013964,45,45
MESH:D018450,206,205
MESH:D000067877,337,337
MESH:D006976,40,39
MESH:D011658,83,83
MESH:D002971,25,25
MESH:D008268,21,21
MESH:D012174,34,34
MESH:D001943,508,508
MESH:D001169,41,41
MESH:D001172,175,175
MESH:D002277,163,162
MESH:D002289,141,141
MESH:D064420,101,101
MESH:D004827,81,81
MESH:D004938,77,77
MESH:D006330,38,38
MESH:D007680,38,38
MESH:D016403,40,40
MESH:D009362,192,192
MESH:D009369,71,71
MESH:D009422,52,52
MESH:D009447,57,56
MESH:D020258,30,30
MESH:D010300,84,83
MESH:D054198,53,53
MESH:D000077195,43,43
MESH:D002779,88,88
MESH:D004195,191,191
MESH:D007249,129,129
MESH:D008105,42,42
MESH:D008107,73,73
MESH:D065626,85,85
MESH:D008545,210,210
MESH:D011085,140,139
MESH:D001259,21,21
MESH:D006331,45,45
MESH:D006973,197,196
MESH:D009202,76,75
MESH:D004342,35,35
MESH:D000077277,88,88
MESH:D013226,67,67
MESH:D003072,47,47
MESH:D004715,157,156
MESH:D019966,111,109
MESH:D003922,44,44
MESH:D003924,172,172
MESH:D016889,63,63
MESH:D006967,64,64
MESH:D011014,55,55
MESH:D015430,108,107
MESH:D000236,33,33
MESH:D006333,153,153
MESH:D008325,156,155
MESH:D054218,26,26
MESH:D003324,83,83
MESH:D003327,23,23
MESH:D050171,24,24
MESH:D002280,138,138
MESH:D000230,119,119
MESH:D001848,26,26
MESH:D063646,22,22
MESH:D015464,20,19
MESH:D008113,140,140
MESH:D009374,63,63
MESH:D011230,96,96
MESH:D000077216,29,28
MESH:D000086382,38,38
MESH:D010190,97,97
MESH:D020521,53,53
MESH:D002311,51,51
MESH:D013274,303,303
MESH:D010003,94,94
MESH:D012128,47,47
MESH:D007333,70,70
MESH:D009765,185,185
MESH:D000860,33,33
MESH:D011009,28,27
MESH:D008607,138,137
MESH:D000419,22,22
MESH:D001145,20,20
MESH:D001281,144,144
MESH:D002545,60,60
MESH:D002318,39,39
MESH:D002446,44,44
MESH:D002543,28,28
MESH:D003921,108,106
MESH:D003928,45,45
MESH:D005922,36,36
MESH:D017379,30,30
MESH:D007022,53,53
MESH:D007248,49,49
MESH:D007674,89,89
MESH:D055370,26,26
MESH:D009203,94,94
MESH:D011225,20,20
MESH:D015431,40,40
MESH:D000022,107,107
MESH:D055371,34,34
MESH:D001008,45,45
MESH:D005923,29,29
MESH:D019969,72,72
MESH:D000740,33,33
MESH:D002292,126,126
MESH:D006130,35,35
MESH:D007859,29,29
MESH:D008569,46,46
MESH:D009069,23,23
MESH:D001749,143,143
MESH:D008288,20,20
MESH:D009361,193,193
MESH:D017202,176,175
MESH:D001171,129,128
MESH:D015674,139,138
MESH:D000077192,148,148
MESH:D003866,41,41
MESH:D001651,32,32
MESH:D005355,60,60
MESH:D006521,22,22
MESH:D007511,28,28
MESH:D014517,25,25
MESH:D019465,154,154
MESH:D054058,33,33
MESH:D002471,129,129
MESH:D010024,62,62
MESH:D000690,45,45
MESH:D003876,39,39
MESH:D007627,34,34
MESH:D001254,27,27
MESH:D005910,77,77
MESH:D003092,26,26
MESH:D006349,27,27
MESH:D000086002,116,116
MESH:D015212,31,31
MESH:D006948,31,31
MESH:D055752,40,40
MESH:D013375,58,58
MESH:D001249,86,86
MESH:D001714,71,71
MESH:D065886,89,89
MESH:D018487,39,39
MESH:D003093,65,65
MESH:D015470,125,125
MESH:D000075222,25,25
MESH:C537243,52,51
MESH:D001289,21,21
MESH:D017114,39,39
MESH:D000437,32,32
MESH:D009062,55,55
MESH:D003424,52,52
MESH:D003920,29,28
MESH:D006943,36,36
MESH:D024821,21,21
MESH:D015428,50,50
MESH:D007247,30,29
MESH:D005921,30,30
MESH:D006930,87,87
MESH:D010146,48,48
MESH:D018805,29,29
MESH:D014652,20,20
MESH:D001919,24,24
MESH:D020244,36,36
MESH:D009410,90,90
MESH:D015427,90,90
MESH:D020257,22,22
MESH:D006332,83,83
MESH:D054144,32,32
MESH:D015658,108,108
MESH:D002294,114,114
MESH:D020754,35,35
MESH:D008114,80,80
MESH:D020961,22,21
MESH:D009437,21,21
MESH:D019970,102,102
MESH:D019636,37,37
MESH:D066126,21,21
MESH:D018149,31,30
MESH:D006548,40,40
MESH:D009336,55,55
MESH:D011507,41,41
MESH:D013927,45,45
MESH:D021441,31,31
MESH:D038901,21,21
MESH:D010048,33,33
MESH:D012162,20,20
MESH:D054506,33,33
MESH:D003877,71,71
MESH:D009364,43,43
MESH:D013163,20,20
MESH:D014029,21,21
MESH:D002114,45,45
MESH:D001327,43,43
MESH:D009103,66,66
MESH:D012878,56,56
MESH:D020261,64,64
MESH:D012871,70,70
MESH:D002386,23,23
MESH:D005234,80,80
