Disease,gene_num_total,gene_num_in_graph
C0011581,387,378
C0009375,129,129
C0002395,73,73
C0023890,122,120
C2239176,223,223
C0024121,177,177
C0027726,54,54
C0024115,46,46
C0019202,24,24
C0033578,453,453
C0005695,103,103
C0001973,277,277
C1458155,404,404
C1956346,69,69
C0013182,35,35
C0033975,147,146
C0031117,127,118
C0028738,313,312
C0026838,194,193
C0008489,28,28
C0014544,546,544
C0004352,267,267
C0017168,78,78
C0009404,209,209
C0036341,966,962
C0004153,46,46
C0027051,84,84
C0020443,36,36
C0000737,98,90
C0002871,146,145
C0259817,76,76
C0022661,40,40
C0221260,54,54
C0003578,42,41
C0020517,61,61
C0032285,88,88
C0017601,117,116
C0028754,252,252
C0020459,81,81
C0020619,117,117
C0456909,108,107
C0001418,109,109
C0015967,123,123
C0015672,182,174
C0014859,67,67
C0040034,128,127
C0020538,251,243
C0030297,74,74
C0025149,51,51
C0026848,92,81
C0018801,145,138
C0151686,110,110
C0878787,110,110
C0021655,59,59
C0036572,568,566
C0020615,98,98
C0042963,111,111
C0085605,70,68
C1527311,31,31
C0006114,25,25
C0878544,92,91
C0005586,491,487
C0007194,90,90
C0007786,76,69
C0007134,131,131
C0026650,51,50
C0018273,32,32
C0029408,107,107
C0038379,271,270
C0035222,42,42
C0035229,130,123
C0013421,117,107
C1269683,254,254
C0003873,164,164
C0020676,48,48
C0034150,26,25
C0398650,24,24
C3495559,124,121
C0007193,80,80
C0010417,259,259
C0013274,77,77
C2973725,39,38
C0014175,151,150
C0022116,21,21
C0017668,36,36
C0020542,60,59
C0021051,112,111
C0151744,164,163
C0038356,290,290
C0018802,66,59
C0029456,154,153
C0948089,32,32
C0027498,91,84
C0020473,32,32
C0013604,62,62
C0002170,90,90
C0017638,67,67
C0004114,29,29
C0149931,76,68
C0013404,67,66
C0033774,57,57
C0011991,112,110
C0004096,92,92
C0037199,40,40
C0401151,30,30
C0011606,25,25
C0040822,107,107
C0032460,151,151
C0149925,39,39
C0003467,113,106
C0011860,130,123
C0023467,118,118
C0030193,57,57
C0428977,25,25
C0020649,71,71
C0003469,33,33
C0027627,149,149
C0038325,28,28
C0242422,48,47
C0026764,30,29
C0494475,43,35
C0011849,79,71
C0020621,29,29
C0162820,66,66
C0011334,74,74
C0702166,34,34
C0020456,29,29
C0017636,71,71
C0038454,50,50
C0039685,43,43
C0018798,57,57
C0003492,29,29
C0238463,31,31
C0887833,20,20
C0040053,36,36
C1565489,81,81
C0000786,112,112
C0029927,39,39
C0035078,71,71
C0034012,94,93
C0271623,73,73
C0018418,56,56
C0021364,64,64
C0948896,36,36
C0162834,36,35
C0020625,22,22
C0011616,70,70
C0242339,23,23
C0030567,52,51
C0023487,34,34
C0007137,110,110
C1168401,28,28
C0919267,84,83
C0018916,24,24
C0678222,26,26
C0006625,47,40
C0037286,61,61
C0870082,45,43
C0020507,22,22
C0022596,60,60
C0311277,25,25
C0009806,135,135
C0022548,36,36
C0042109,30,30
C0030305,42,35
C0497327,69,60
C1263846,101,94
C0242350,29,29
C0042024,35,35
C0020757,41,41
C0008350,20,20
C0017181,50,50
C0014170,52,52
C0007131,101,101
C0027819,45,44
C0079744,34,34
C0006118,22,22
C0037274,93,93
C0001430,31,31
C0009319,23,22
C0022568,23,23
C0020437,32,32
C0003123,40,32
C0002736,49,48
C0043352,41,41
C0004238,35,35
C0038220,79,79
C0231528,53,53
C0024141,62,61
C0007138,28,28
C0206686,21,21
C0025500,36,36
C0021390,27,27
C0011854,41,41
C0004364,62,62
C0025202,184,183
C0023418,48,48
C0024299,45,45
C0025289,27,27
C0015230,41,41
C0004943,21,21
C1408258,24,24
C0033860,52,51
C0026769,32,32
C0015397,21,21
C0018681,36,36
C0917798,25,18
C0079773,22,22
C0042487,41,41
C0003862,91,91
C0003864,50,50
C0042384,23,23
C0037299,48,48
C0311375,60,60
C0021361,28,27
C0021359,30,30
C0018671,25,25
C0034069,73,73
C0220994,30,30
C0020598,32,32
C0014550,29,27
C0018834,75,75
C0007117,45,45
C0005779,43,43
C0376545,22,22
C0271650,25,24
C0023434,40,40
C0024305,20,20
C0006267,40,40
C0012833,27,27
C0042571,27,27
C0037036,28,28
C0022665,26,26
C3463824,35,35
C0029453,98,96
C0003811,92,83
C0011881,25,25
C0040136,33,33
C0151526,74,73
C0233315,66,65
C0020555,24,24
C0028768,32,32
C0009324,57,57
C0023892,43,43
C0029463,39,39
C1261473,21,21
C0025322,24,24
C0036920,27,27
C0011615,32,32
C0019087,31,31
C0009763,36,36
C0876973,29,29
C0029882,21,21
C0003962,20,19
C0031099,23,23
C0017563,20,20
C0014553,21,21
C0042514,22,22
C0036337,20,19
C0013595,44,44
C0034013,27,27
C0007570,20,20
C0024117,35,35
C0010200,23,22
C2316810,30,30
C0015371,29,29
C0010346,39,39
C0524620,20,20
C0034067,22,22
C0151721,21,21
C0232940,23,23
C0151740,23,23
