Disease,gene_num_total,gene_num_in_graph
C0022541,21,20
C0023530,27,26
C0002103,24,24
C0035455,25,25
C0009806,156,156
C0011991,117,117
C0021359,36,36
C0014335,35,35
C0003113,20,19
C0026821,56,56
C0036572,595,594
C0011570,26,26
C0001925,23,23
C0033687,121,120
C0020615,21,20
C0032914,79,78
C0338591,25,25
C0700590,81,81
C0019572,46,46
C0006625,50,43
C0027498,91,84
C0018777,121,121
C0015967,126,126
C3552463,111,110
C0023014,23,23
C0015672,182,174
C0271215,109,108
C0028754,555,554
C0028756,23,23
C3203358,28,28
C0031154,21,21
C0000737,99,92
C0086565,43,43
C0019214,22,22
C0235153,34,27
C0018784,294,287
C0020455,61,61
C0020438,30,30
C0020538,93,93
C0751837,51,51
C0009460,31,30
C0151825,42,42
C0162298,83,83
C0086437,55,55
C0003862,89,89
C0152031,25,25
C0035229,26,26
C0231835,20,20
C0013404,67,67
C0476273,42,42
C1145670,26,26
C0009421,57,57
C0026838,191,191
C0026846,50,50
C0151786,165,158
C0015644,22,22
C0026826,88,88
C0013421,147,137
C0027066,74,74
C0542476,39,32
C0751295,39,32
C0002622,32,32
C0234979,24,24
C1838869,48,47
C0003537,20,19
C0917816,640,639
C0221263,37,37
C0010200,24,24
C0178417,27,27
C0231807,23,23
C0162674,23,22
C0427055,58,58
C0476254,36,36
C1963137,48,48
C0231791,24,24
C0005779,26,26
C0042963,110,110
C0237326,132,132
C0016382,59,59
C0151908,76,76
C0085636,118,118
C0022346,79,79
C0033774,58,58
C0034150,41,41
C0015230,75,75
C0155320,27,20
C0018989,34,27
C0022116,44,44
C0018780,34,34
C0032285,31,31
C0026837,47,47
C0427190,20,20
C0152200,21,21
C0231528,53,53
C0746674,56,56
C0240735,23,23
C3668816,20,20
C0002418,32,32
C0009398,37,37
C0700078,118,118
C0270948,135,134
C0035078,75,75
C1963154,67,67
C0019825,31,31
C0456909,117,116
C0003635,53,53
C0013595,33,33
C0042798,170,170
C0023380,76,76
C0234144,20,20
C0013604,68,68
C0037315,23,23
C0037317,37,37
C0851578,24,24
C0241210,112,112
C0020305,24,23
C0398650,36,36
C1262477,104,104
C0043094,97,97
C1384666,193,192
C1691779,32,32
C0030193,78,78
C0020429,78,78
C1860844,60,60
C0018681,36,36
C0012833,27,27
C0206160,20,20
C0033377,32,32
C4020887,118,118
C0018834,73,73
C0008489,317,314
C0006271,21,21
C0030486,25,25
C1836296,26,26
C0032617,22,22
C0042024,36,36
C0007758,244,231
C0014118,21,21
C0008031,37,37
C2364082,21,21
C0003126,21,21
C0023186,48,48
C0751265,20,20
C0042384,24,24
C0040034,28,28
C0231712,33,33
C0021368,36,36
C0030232,41,41
C0029089,104,97
C0005745,32,32
C0003123,41,34
C0271097,25,25
C2931205,25,25
C1568248,25,25
C1568249,27,27
C0699731,293,290
C0086132,28,28
C0020505,24,24
C0013491,67,67
C0023012,112,112
C0023015,43,42
C0973461,22,22
C0233565,32,32
C0039070,23,23
C0040822,110,110
C0234376,21,21
C0003578,45,44
C3714756,749,747
C0020796,31,31
C0018776,34,34
C0042571,27,27
C0234133,28,28
C0234132,28,28
C0234378,21,12
