Drug,gene_num_total,gene_num_in_graph
C095360,1,1
C403065,4,4
C065719,3,3
C554291,8,8
C521487,1,1
C471674,1,1
C025205,2,2
C507387,1,1
C495657,1,1
C024566,2,2
C572723,2,2
C557705,1,1
C552530,5,5
C000705689,4,4
C517113,8,8
C054400,8,8
C084012,2,2
C547593,1,1
C001427,1,1
C519817,1,1
C016780,1,1
C586414,2,2
C402363,1,1
C014843,1,1
C570533,1,1
C099060,3,3
C013721,1,1
C063087,1,1
C494034,1,1
C026486,2,2
C046127,1,1
C097949,7,7
C408047,3,3
C078328,1,1
C106973,1,1
C025603,2,2
C482518,3,3
C569107,3,3
C000596114,2,2
C517232,1,1
C044985,1,0
D014013,1,1
C512968,5,5
C070046,1,1
C010942,5,5
C519184,5,5
C568514,1,1
C031263,1,1
C041597,1,1
C058895,1,1
C040083,3,3
C420062,1,1
C527637,3,3
C040756,5,5
C017251,2,2
C554292,1,1
C034832,2,2
C544516,3,3
C000603962,4,4
C078329,1,1
C039222,1,1
C534147,1,1
C524478,7,7
C031763,1,1
C015068,4,4
C078415,1,1
C031338,2,2
C517170,3,3
C547592,1,1
C033489,7,7
C570531,1,1
C570532,2,2
C038983,2,2
C415363,1,1
C051360,3,3
C018406,4,4
C553294,4,4
C517943,5,5
C028474,4,4
C524716,1,1
C526691,1,1
C026386,3,3
C561237,1,1
C023353,1,1
C039689,1,1
C117455,1,1
C038806,1,1
C024023,2,2
C034890,2,2
C091518,7,7
C072014,1,1
C490166,3,3
C035342,2,2
C496950,1,1
C074153,5,5
C046760,1,1
C508388,2,2
C097240,13,13
C477819,5,5
C525003,1,1
C095653,2,2
C582337,5,5
C000594853,4,4
D019796,2,2
C532725,1,1
C060229,3,3
C447621,2,2
C034554,1,1
C020175,1,1
C024871,1,1
C007297,1,1
C039464,2,2
C002591,1,1
C560081,1,1
C410803,1,1
D019326,6,6
D000077713,7,7
C035702,1,1
C021183,1,1
C540688,3,3
C023850,1,1
C047777,1,1
C104305,1,1
C049061,1,1
C004482,2,2
C027132,11,11
C006737,3,3
C071293,1,1
C118559,3,3
D020001,9,9
C039463,2,2
C000620620,2,2
C000613388,1,1
C042881,1,1
C095284,2,2
C050175,1,1
C033146,7,7
C520322,2,2
D015056,7,7
D015655,5,4
C022957,1,1
C029350,3,3
D015058,1,1
C032668,3,3
C014713,1,1
C400184,1,1
C000620621,3,3
C586710,3,3
C000590832,3,3
C552597,6,6
C037165,1,1
D000433,4,4
C107238,4,4
C518874,1,1
C463480,1,1
C021279,1,1
C065011,1,1
C466795,2,2
C116515,1,1
C025813,1,1
C532162,7,7
C548651,4,4
C569671,2,2
C568460,1,1
C054919,5,5
C005849,1,1
C541131,1,1
C483839,2,2
C029790,2,2
C032904,3,3
C522903,1,1
C555859,2,2
C477694,5,5
C511295,11,11
C035476,5,5
C572625,4,4
C417207,2,2
C001508,2,2
C010654,2,2
C093973,28,28
C006183,6,6
C497827,2,2
C019273,6,6
C404910,6,6
C451219,2,2
C047969,5,5
C120227,1,1
C000516,3,3
C002462,2,2
C018923,7,7
C552398,1,1
C054363,1,1
D015082,1,1
C539997,1,1
C433826,2,2
C003585,5,5
C544380,2,2
C087667,3,3
C070055,3,3
C104006,4,4
D015647,1,1
C038890,5,5
C489827,1,1
C101851,3,3
C587734,5,5
C014211,4,4
C486182,2,2
C433825,2,2
C497826,2,2
C568964,1,1
C009135,1,1
C475470,2,2
C043231,1,1
C035976,5,5
C061282,1,1
C110093,1,1
C440850,2,2
C081766,3,3
C014024,12,12
C009828,1,1
C529061,2,2
C009534,6,6
D015085,2,2
C086758,1,1
C484217,1,1
C004554,3,3
C024564,3,3
C067259,2,2
C010422,3,3
C071044,1,1
C066859,7,7
C526470,4,4
C425784,2,2
C000591344,1,1
C548544,3,3
C026805,1,1
C013930,1,1
C029907,1,1
C004762,5,5
D015084,4,4
C473625,1,1
C121479,5,5
C044563,2,2
C000613875,2,2
C085911,17,17
C562251,1,1
C089946,1,1
C009497,1,1
C009407,3,3
C010925,1,1
C543308,1,1
C019359,3,3
C011269,1,1
C007997,7,7
C023505,3,3
C040488,3,3
C588014,1,1
C034593,1,1
C582717,1,1
C034889,1,1
C026942,1,1
C570407,4,4
C018520,4,4
C035577,1,1
C028519,2,2
C438607,2,2
C038639,5,5
C036531,1,1
C037631,1,1
C076996,5,5
D015073,2,2
C527068,1,1
C488175,2,2
C014953,3,3
C049584,2,2
C036989,1,1
C561592,1,1
C561591,1,1
C121228,2,2
C017822,1,1
C022970,1,1
C109986,2,2
C006545,1,1
C005464,3,3
C054916,1,1
C025225,1,1
C484327,1,1
C048008,3,3
C069723,2,2
