Drug,gene_num_total,gene_num_in_graph
DB06803,1,1
DB02709,25,25
DB01094,4,4
DB08985,2,2
DB01295,4,4
clorprenaline,2,2
DB00127,6,6
DB00866,4,4
DB08807,5,5
DB08808,3,3
carazolol,3,3
DB09229,10,10
DB13500,1,1
DB09230,2,2
DB09235,2,2
DB04866,2,2
DB01431,3,3
estropipate,2,2
neridronic-acid,1,1
minodronic-acid,2,2
DB01034,1,1
DB00339,1,1
fludrocortisone-acetate,3,3
megestrol-acetate,2,2
dexamethasone-sodium-phosphate,1,1
methylprednisolone-aceponate,1,1
cortisone,1,1
prednisolone-acetate,1,1
fluocinolone-acetonide,2,2
DB00873,1,1
hydrocortisone-butyrate,1,1
DB00764,2,2
prednisolone-sodium-phosphate,1,1
hydrocortisone-phosphate,3,3
clobetasone-butyrate,1,1
DB11824,1,1
DB01352,10,10
hyaluronic-acid,9,9
thiram,1,1
DB01411,7,7
tepoxalin,1,1
DB08955,1,1
silibinin,1,1
arsenic-trioxide,7,7
DB09221,8,8
butorphanol-(+)-tartrate,3,3
DB09289,6,6
DB04519,1,1
DB08983,1,1
DB09006,4,4
zotarolimus,1,1
DB01349,2,2
gentamycin,2,2
L-Arginine,8,8
DB00125,8,8
DB00155,10,10
L-Citrulline,10,10
fludarabine-phosphate,7,7
spiperone,14,14
DB09000,4,4
DB08839,15,15
DB12163,3,3
DB09304,19,19
DB09014,3,3
testosterone-enanthate,1,1
DB13169,4,4
testosterone-undecanoate,1,1
DB02901,2,2
DB00858,1,1
DB05266,8,8
DB09283,22,22
DB09273,7,7
DB09198,1,1
DB01252,3,3
chlormadinone-acetate,1,1
DB11324,1,1
DB09288,4,4
sodium-salicylate,3,3
DB01356,4,4
DB04942,2,2
DB00133,7,7
DB00463,18,18
DB00546,14,14
DB11582,16,16
DB00607,3,3
DB01140,4,4
DB01060,4,4
cyclosporin-a,1,1
bucladesine,1,1
DB13165,2,2
epalrestat,1,1
sodium-monofluorophosphate,1,1
DB00352,2,2
ethanolamine-oleate,4,4
DB08873,6,6
DB09286,14,14
fluphenazine-decanoate,3,3
DB01397,2,2
DB09217,1,1
DB00154,2,2
DB13217,2,2
DB12233,1,1
flurbiprofen-(S)-(+),2,2
deracoxib,1,1
bendazac,2,2
ufenamate,2,2
DB08984,2,2
DB01404,3,3
amtolmetin-guacil,2,2
DB04552,9,9
ibuprofen-lysine,2,2
DB12545,2,2
DB01429,2,2
DB04216,9,9
DB01015,1,1
budipine,1,1
cycloserine-(d),1,1
DB00311,10,10
DB00232,5,5
DB04665,8,8
fenigam,2,2
DB00837,2,2
DB04106,1,1
DB11748,1,1
DB08961,2,2
DB12082,2,2
DB09223,3,3
DB08922,9,9
DB12478,8,8
haloperidol-decanoate,4,4
nemonapride,3,3
clebopride,2,2
DB12867,1,1
DB01622,7,7
DB12401,1,1
r(-)-apomorphine,1,1
DB09018,1,1
DB04924,2,2
DB01425,1,1
DB07477,1,1
falecalcitriol,1,1
DB13689,1,1
DB06272,1,1
DB00250,1,1
DB01412,3,3
aceclidine,5,5
vinburnine,4,4
DB00505,3,3
DB09262,3,3
trepibutone,4,4
DB00729,1,1
diphemanil,1,1
DB04878,1,1
DB01483,10,10
DB04576,1,1
DB04967,3,3
DB01137,1,1
dabigatran-etexilate,1,1
DB12598,6,6
dabigatran,1,1
ACT-132577,2,2
DB08810,3,3
benztropine-mesylate,3,3
SN-38,1,1
DB00853,1,1
DB00117,4,4
DB00254,3,3
meldonium,1,1
DB00212,1,1
DB00787,1,1
tebipenem,1,1
sodium-tetradecyl-sulfate,2,2
DB08811,5,5
adiphenine,1,1
DB08941,1,1
DB12248,1,1
DB08957,1,1
DB01408,2,2
DB09204,1,1
DB12863,2,2
DB01279,1,1
camostat-mesilate,1,1
DB12831,2,2
DB04894,3,3
DB01839,1,1
acefylline,1,1
etofylline,1,1
DB11696,1,1
mozavaptan,3,3
desmopressin-acetate,4,4
DB09279,1,1
DB13919,1,1
flopropione,1,1
DB09244,3,3
DB12833,1,1
icatibant-acetate,2,2
DB00093,1,1
DB06211,1,1
DB00043,2,2
strontium-ranelate,1,1
maropitant,1,1
DB00167,5,5
pralidoxime-chloride,2,2
DB12153,2,2
methylene-blue,1,1
DB03852,1,1
ephedrine-(racemic),2,2
DB09166,5,5
DB06264,2,2
DB00916,3,3
DB01201,3,3
DB06290,2,2
DB00300,1,1
