Drug,gene_num_total,gene_num_in_graph
U5,496,496
U380,291,291
U529,371,371
U382,501,501
U35,220,220
U381,104,104
U392,16,16
U383,2,2
U384,120,120
U393,50,50
U386,38,38
U46,58,58
U391,266,266
U390,557,557
U387,94,94
U388,144,144
U36,210,210
U394,55,55
U395,1,1
U716,775,775
U396,448,448
U372,165,165
U397,29,29
U399,2,2
U401,18,18
U403,12,12
U767,553,553
U439,19,19
U404,6,6
U38,30,30
U24,471,471
U406,43,43
U408,324,324
U411,33,33
U13,530,530
U39,16,16
U409,250,250
U410,19,19
U412,466,466
U414,87,87
U416,482,482
U417,349,349
U418,92,92
U419,1,1
U40,1,1
U453,418,418
U420,12,12
U421,2,2
U422,94,94
U423,594,594
U425,317,317
U142,269,269
U93,409,409
U430,257,257
U431,375,375
U432,91,91
U669,468,468
U438,28,28
U437,95,95
U370,50,50
U434,308,308
U435,484,484
U697,420,420
U267,145,145
U442,341,341
U443,173,173
U43,4,4
U106,564,564
U440,484,484
U268,323,323
U446,415,415
U448,4,4
U447,86,86
U37,271,271
U169,37,37
U452,1,1
U47,5,5
U454,465,465
U455,465,465
U456,89,89
U451,433,433
U892,386,386
U52,348,348
U457,4,4
U459,321,321
U889,50,50
U460,30,30
U461,86,86
U462,71,71
U53,315,315
U560,103,103
U463,193,193
U465,6,6
U467,284,284
U468,133,133
U470,82,82
U50,277,277
U473,44,44
U474,318,318
U477,225,225
U475,1,1
U476,357,357
U479,529,529
U480,530,530
U258,402,402
U687,3,3
U51,32,32
U146,118,118
U469,11,11
U88,117,117
U487,42,42
U483,9,9
U821,74,74
U486,7,7
U484,477,477
U54,216,216
U488,22,22
U489,1,1
U492,176,176
U491,13,13
U495,18,18
U496,253,253
U55,357,357
U497,1,1
U498,507,507
U501,35,35
U502,17,17
U503,97,97
U515,9,9
U517,11,11
U504,23,23
U505,615,615
U508,1,1
U509,1,1
U510,1,1
U516,150,150
U511,1,1
U513,253,253
U506,23,23
U518,338,338
U519,11,11
U522,321,321
U523,20,20
U57,9,9
U526,34,34
U524,271,271
U48,436,436
U999,477,477
U530,247,247
U76,364,364
U532,586,586
U533,49,49
U527,391,391
U58,15,15
U528,389,389
U534,30,30
U536,232,232
U304,1,1
U537,8,8
U306,433,433
U538,95,95
U543,275,275
U544,275,275
U545,334,334
U539,479,479
U540,24,24
U541,93,93
U542,93,93
U546,460,460
U547,492,492
U548,5,5
U551,144,144
U552,3,3
U554,33,33
U553,24,24
U481,171,171
U555,7,7
U710,185,185
U559,431,431
U59,386,386
U244,472,472
U563,34,34
U566,169,169
U954,166,166
U802,259,259
U1033,350,350
U64,51,51
U567,65,65
U279,395,395
U550,135,135
U568,126,126
U569,308,308
U556,33,33
U557,50,50
U558,55,55
U841,389,389
U575,41,41
U156,316,316
U570,48,48
U576,1,1
U578,599,599
U579,520,520
U574,42,42
U582,174,174
U584,21,21
U585,308,308
U587,189,189
U590,6,6
U694,411,411
U706,79,79
U591,12,12
U858,322,322
U592,59,59
U593,248,248
U594,359,359
U596,35,35
U598,85,85
U599,42,42
U62,64,64
